id,bacnetConnRef,bacnetCur,bacnetPoint,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,submeterAdd,temp,tz,unit,utilityPoint,volume,water,mod
@p:ubcv:r:20a66740-dd92ec80 Klinck Elec Main Meter Energy,"","","","","","","","","","",$equipRef $navName,✓,✓,"",@p:ubcv:r:20a66740-93931e61 Klinck Elec Main Meter,"",@p:ubcv:r:21697fca-a0ae742e Klinck Utilities,✓,"","","",virtualMeter,consumption,"","","",✓,"",Number,"",Energy,"","","",✓,"","","",✓,@p:ubcv:r:20a66740-721f986a Klinck,"","","","@p:ubcv:r:264326bf-ce844ed6, @p:ubcv:r:264326bb-423c98f0","",Los_Angeles,kWh,✓,"","",2020-05-06T18:35:26.182Z UTC
@p:ubcv:r:20a66740-c3ed9ac9 Klinck HW Main Meter Power,@p:ubcv:r:21cacfdd-86407bf0 Klinck DES Meter,AI5,✓,@p:ubcv:r:21cacfdd-86407bf0 Klinck DES Meter,✓,"",ok,0kW,"","",$equipRef $navName,"","","",@p:ubcv:r:20a66740-7ac7974a Klinck HW Main Meter,"",@p:ubcv:r:21697fca-a0ae742e Klinck Utilities,✓,5kW,15min,2020-05-12T14:45:00-07:00 Los_Angeles,"","",588083,2016-05-05T15:45:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","",✓,"",✓,"",✓,@p:ubcv:r:20a66740-721f986a Klinck,"","","","","",Los_Angeles,kW,✓,"",✓,2020-05-12T08:00:09.834Z UTC
@p:ubcv:r:21dffdae-415668c9 Klinck HW Main Meter Entering Water Temp,@p:ubcv:r:21cacfdd-86407bf0 Klinck DES Meter,AI9,✓,@p:ubcv:r:21cacfdd-86407bf0 Klinck DES Meter,✓,"",ok,76.93999481201172°C,"","",$equipRef $navName,"","",✓,@p:ubcv:r:20a66740-7ac7974a Klinck HW Main Meter,"",@p:ubcv:r:21697fca-a0ae742e Klinck Utilities,✓,0.5°C,10min,2020-05-12T14:55:15-07:00 Los_Angeles,"",consumption,207137,2018-01-03T14:10:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","",✓,"","","",✓,@p:ubcv:r:20a66740-721f986a Klinck,"","","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:36.173Z UTC
@p:ubcv:r:263b76bf-21fd1bb8 Klinck Water Main Meter Consumption,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,138599.296875m³,"","",$equipRef $navName,"","","",@p:ubcv:r:20a66740-25459e75 Klinck Water Main Meter,"",@p:ubcv:r:21697fca-a0ae742e Klinck Utilities,✓,"",15min,2020-05-12T14:45:00-07:00 Los_Angeles,"",consumption,319708,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Consumption,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Klinck_308_1.Water_Volume,✓,✓,"","",10394,✓,@p:ubcv:r:20a66740-721f986a Klinck,57,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,m³,✓,✓,✓,2020-05-04T19:39:55.333Z UTC
@p:ubcv:r:264326bb-423c98f0 Klinck Elec Submeters Elec Feed 2 Energy,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,9046910kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:23d394c0-8ef1ed69 Klinck Elec Submeters Elec Feed 2,"",@p:ubcv:r:21697fca-a0ae742e Klinck Utilities,✓,"",15min,2020-05-12T14:45:00-07:00 Los_Angeles,"",consumption,328350,2010-12-31T16:00:00-08:00 Los_Angeles,ok,✓,"",Number,"",Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Klinck_308_2.Elec_Energy,✓,✓,"","",10393,✓,@p:ubcv:r:20a66740-721f986a Klinck,75,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kWh,✓,"","",2020-05-04T19:39:55.323Z UTC
@p:ubcv:r:21dffdae-389f637c Klinck HW Main Meter Flow,@p:ubcv:r:21cacfdd-86407bf0 Klinck DES Meter,AI4,✓,@p:ubcv:r:21cacfdd-86407bf0 Klinck DES Meter,✓,L/h => L/s,ok,0L/s,"","",$equipRef $navName,"","","",@p:ubcv:r:20a66740-7ac7974a Klinck HW Main Meter,✓,@p:ubcv:r:21697fca-a0ae742e Klinck Utilities,✓,0.25L/s,10min,2020-05-12T14:50:00-07:00 Los_Angeles,"",consumption,262584,2018-01-03T14:10:00-08:00 Los_Angeles,ok,"",✓,Number,"",Flow,"","","",✓,"","","",✓,@p:ubcv:r:20a66740-721f986a Klinck,"","","","","",Los_Angeles,L/s,✓,"",✓,2020-04-28T00:03:36.174Z UTC
@p:ubcv:r:264326bf-ce844ed6 Klinck Elec Submeters Elec Feed 1 Energy,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,9491862kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:23d394ab-3a6aae69 Klinck Elec Submeters Elec Feed 1,"",@p:ubcv:r:21697fca-a0ae742e Klinck Utilities,✓,"",15min,2020-05-12T14:45:00-07:00 Los_Angeles,"",consumption,328350,2010-12-31T16:00:00-08:00 Los_Angeles,ok,✓,"",Number,"",Energy,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Klinck_308_1.Elec_Energy,✓,✓,"","",10393,✓,@p:ubcv:r:20a66740-721f986a Klinck,57,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kWh,✓,"","",2020-05-04T19:39:55.335Z UTC
@p:ubcv:r:21dffdae-1b84fc05 Klinck HW Main Meter Leaving Water Temp,@p:ubcv:r:21cacfdd-86407bf0 Klinck DES Meter,AI10,✓,@p:ubcv:r:21cacfdd-86407bf0 Klinck DES Meter,✓,"",ok,69.87999725341797°C,"","",$equipRef $navName,"","","",@p:ubcv:r:20a66740-7ac7974a Klinck HW Main Meter,"",@p:ubcv:r:21697fca-a0ae742e Klinck Utilities,✓,0.5°C,10min,2020-05-12T14:55:15-07:00 Los_Angeles,"",consumption,357851,2018-01-03T14:10:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","",✓,"","","",✓,@p:ubcv:r:20a66740-721f986a Klinck,"","","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:36.175Z UTC
@p:ubcv:r:20a66740-57451c01 Klinck Elec Main Meter Power,"","","","","","","","","","",$equipRef $navName,✓,"","",@p:ubcv:r:20a66740-93931e61 Klinck Elec Main Meter,"",@p:ubcv:r:21697fca-a0ae742e Klinck Utilities,✓,"","","",virtualMeter,"","","","","","",Number,"",Power,"","","",✓,"",✓,"",✓,@p:ubcv:r:20a66740-721f986a Klinck,"","","","@p:ubcv:r:264326bd-175d9ed1, @p:ubcv:r:264326bc-d80a2e8b","",Los_Angeles,kW,✓,"","",2020-05-06T19:21:27.438Z UTC
@p:ubcv:r:264326bd-175d9ed1 Klinck Elec Submeters Elec Feed 1 Power,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,90.0511703491211kW,"","",$equipRef $navName,✓,"","",@p:ubcv:r:23d394ab-3a6aae69 Klinck Elec Submeters Elec Feed 1,"",@p:ubcv:r:21697fca-a0ae742e Klinck Utilities,✓,5kW,15min,2020-05-12T14:56:48-07:00 Los_Angeles,"","",424299,2010-12-31T16:00:00-08:00 Los_Angeles,ok,"","",Number,"",Power,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Klinck_308_1.Elec_Power,✓,✓,"",✓,116,✓,@p:ubcv:r:20a66740-721f986a Klinck,57,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kW,✓,"","",2020-05-12T08:00:09.835Z UTC
