id,bacnetConnRef,bacnetCur,bacnetObjectId,bacnetPoint,bridgeName,connRef,count,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,occ,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,reliability,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,volume,water,wifi,wifiId,mod
@p:ubcv:r:20a66894-1ce704a8 Koerner Library HW Main Meter Power,@p:ubcv:r:21cad03c-34345d66 KLIB DES Meter,AI5,"",✓,"",@p:ubcv:r:21cad03c-34345d66 KLIB DES Meter,"",✓,"",ok,0kW,"","",$equipRef $navName,"","","",@p:ubcv:r:20a66894-29a67d0d Koerner Library HW Main Meter,"",@p:ubcv:r:21697fca-cf6d7778 Koerner Library Utilities,✓,5kW,15min,2020-05-12T14:45:00-07:00 Los_Angeles,"","",504186,2016-05-05T15:45:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","","",✓,"",✓,"","",✓,@p:ubcv:r:20a66894-26c3668c Koerner Library,"","","","",Los_Angeles,kW,✓,"",✓,"","",2020-05-12T08:00:09.837Z UTC
@p:ubcv:r:21dffdad-64910cdf Koerner Library HW Main Meter Leaving Water Temp,@p:ubcv:r:21cad03c-34345d66 KLIB DES Meter,AI10,"",✓,"",@p:ubcv:r:21cad03c-34345d66 KLIB DES Meter,"",✓,"",ok,43.86000061035156°C,"","",$equipRef $navName,"","","",@p:ubcv:r:20a66894-29a67d0d Koerner Library HW Main Meter,"",@p:ubcv:r:21697fca-cf6d7778 Koerner Library Utilities,✓,0.5°C,10min,2020-05-12T14:50:00-07:00 Los_Angeles,"",consumption,164554,2018-01-03T13:10:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","","",✓,"","","","",✓,@p:ubcv:r:20a66894-26c3668c Koerner Library,"","","",✓,Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:35.074Z UTC
@p:ubcv:r:23ac528e-5db8d59b Koerner Library Wifi Count,"","","","",515.FLR3.AH4,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",2,"","",$siteRef $navName,"","","","","",@p:ubcv:r:23ac414a-02a2d82c Koerner Library Wifi,✓,"","",2020-05-12T14:55:14-07:00 Los_Angeles,"",cov,107978,2018-12-18T16:50:03-08:00 Los_Angeles,"","","",Number,"",Wifi Count,✓,"","","",✓,"","","","",✓,@p:ubcv:r:20a66894-26c3668c Koerner Library,"","","","",Los_Angeles,"","","","",✓,240,2020-02-26T18:09:23.728Z UTC
@p:ubcv:r:20a66894-5383197e Koerner Library HW Main Meter Energy,@p:ubcv:r:21cad03c-34345d66 KLIB DES Meter,AI1,"",✓,"",@p:ubcv:r:21cad03c-34345d66 KLIB DES Meter,"",✓,MWh => kWh,ok,5463000kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:20a66894-29a67d0d Koerner Library HW Main Meter,"",@p:ubcv:r:21697fca-cf6d7778 Koerner Library Utilities,✓,"",15min,2020-05-12T14:45:00-07:00 Los_Angeles,"",consumption,139554,2016-05-05T11:15:00-07:00 Los_Angeles,ok,✓,✓,Number,"",Energy,"","","","",✓,"","",10364,"",✓,@p:ubcv:r:20a66894-26c3668c Koerner Library,56,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"",✓,"","",2020-04-28T00:03:35.075Z UTC
@p:ubcv:r:23ac528e-dbf90cdb Koerner Library Wifi Count,"","","","",515.FLR3.AH5,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",0,"","",$siteRef $navName,"","","","","",@p:ubcv:r:23ac414a-02a2d82c Koerner Library Wifi,✓,"","",2020-05-12T14:55:00-07:00 Los_Angeles,"",cov,108181,2018-12-18T16:50:03-08:00 Los_Angeles,"","","",Number,"",Wifi Count,✓,"","","",✓,"","","","",✓,@p:ubcv:r:20a66894-26c3668c Koerner Library,"","","","",Los_Angeles,"","","","",✓,237,2020-02-26T18:09:23.731Z UTC
@p:ubcv:r:263b76b7-0609c6bd Koerner Library Elec Main Meter Energy,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,2308423kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:20a66894-8a4e80d4 Koerner Library Elec Main Meter,"",@p:ubcv:r:21697fca-cf6d7778 Koerner Library Utilities,✓,"",15min,2020-05-12T14:45:00-07:00 Los_Angeles,"",consumption,319752,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Energy,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Koerner_Lib_515.Elec_Energy,✓,✓,"","",10393,"",✓,@p:ubcv:r:20a66894-26c3668c Koerner Library,56,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"","","","",2020-05-04T19:39:55.256Z UTC
@p:ubcv:r:23ac528e-2f628dcd Koerner Library Wifi Count,"","","","",515.FLR6.AH11,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",6,"","",$siteRef $navName,"","","","","",@p:ubcv:r:23ac414a-02a2d82c Koerner Library Wifi,✓,"","",2020-05-12T14:55:15-07:00 Los_Angeles,"",cov,110615,2018-12-18T16:50:04-08:00 Los_Angeles,"","","",Number,"",Wifi Count,✓,"","","",✓,"","","","",✓,@p:ubcv:r:20a66894-26c3668c Koerner Library,"","","","",Los_Angeles,"","","","",✓,248,2020-02-26T18:09:23.72Z UTC
@p:ubcv:r:23ac528e-241cb216 Koerner Library Wifi Count,"","","","",515.FLR3.AH12,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",0,"","",$siteRef $navName,"","","","","",@p:ubcv:r:23ac414a-02a2d82c Koerner Library Wifi,✓,"","",2020-05-12T14:55:00-07:00 Los_Angeles,"",cov,115124,2018-12-18T16:50:03-08:00 Los_Angeles,"","","",Number,"",Wifi Count,✓,"","","",✓,"","","","",✓,@p:ubcv:r:20a66894-26c3668c Koerner Library,"","","","",Los_Angeles,"","","","",✓,241,2020-02-26T18:09:23.727Z UTC
@p:ubcv:r:263b76b6-250abb21 Koerner Library Water Main Meter Consumption,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,53519.19921875m³,"","",$equipRef $navName,"","","",@p:ubcv:r:20a66894-b9d5fbd4 Koerner Library Water Main Meter,"",@p:ubcv:r:21697fca-cf6d7778 Koerner Library Utilities,✓,"",15min,2020-05-12T14:45:00-07:00 Los_Angeles,"",consumption,319752,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Consumption,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Koerner_Lib_515.Water_Volume,✓,✓,"","",10394,"",✓,@p:ubcv:r:20a66894-26c3668c Koerner Library,56,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,m³,✓,✓,✓,"","",2020-05-04T19:39:55.248Z UTC
@p:ubcv:r:23ac528e-2ff99a3b Koerner Library Wifi Count,"","","","",515.FLR4.AH6,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",2,"","",$siteRef $navName,"","","","","",@p:ubcv:r:23ac414a-02a2d82c Koerner Library Wifi,✓,"","",2020-05-12T14:55:13-07:00 Los_Angeles,"",cov,119917,2019-01-08T11:20:00-08:00 Los_Angeles,"","","",Number,"",Wifi Count,✓,"","","",✓,"","","","",✓,@p:ubcv:r:20a66894-26c3668c Koerner Library,"","","","",Los_Angeles,"","","","",✓,243,2020-02-26T18:09:23.725Z UTC
