id,bacnetConnRef,bacnetCur,bacnetPoint,bridgeName,connRef,count,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,occ,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,volume,water,wifi,wifiId,mod
@p:ubcv:r:20a64ab3-a20afc3e Lasserre HW Main Meter Power,@p:ubcv:r:21cad068-7dcb14b3 LASR DES Meter,AI5,✓,"",@p:ubcv:r:21cad068-7dcb14b3 LASR DES Meter,"",✓,"",ok,14.100000381469727kW,"","",$equipRef $navName,"","","",@p:ubcv:r:20a64ab3-770de7fd Lasserre HW Main Meter,"",@p:ubcv:r:21697fca-7b3139ff Lasserre Utilities,✓,5kW,15min,2020-05-12T15:30:00-07:00 Los_Angeles,"","",366299,2016-05-05T15:45:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","","",✓,"",✓,"",✓,@p:ubcv:r:20a64ab3-047cdcb3 Lasserre,"","","","",Los_Angeles,kW,✓,"",✓,"","",2020-05-12T08:00:09.84Z UTC
@p:ubcv:r:21dffdad-e9ca807f Lasserre HW Main Meter Entering Water Temp,@p:ubcv:r:21cad068-7dcb14b3 LASR DES Meter,AI9,✓,"",@p:ubcv:r:21cad068-7dcb14b3 LASR DES Meter,"",✓,"",ok,79.06999969482422°C,"","",$equipRef $navName,"","",✓,@p:ubcv:r:20a64ab3-770de7fd Lasserre HW Main Meter,"",@p:ubcv:r:21697fca-7b3139ff Lasserre Utilities,✓,0.5°C,10min,2020-05-12T15:40:00-07:00 Los_Angeles,"",consumption,177685,2018-01-03T14:00:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","","",✓,"","","",✓,@p:ubcv:r:20a64ab3-047cdcb3 Lasserre,"","","",✓,Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:36.257Z UTC
@p:ubcv:r:2514171e-1628ae29 Lasserre Rm 107 Wifi Count,"","","",028.FLR1.AHU1-107,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",0,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2514171e-6e482992 Lasserre Wifi,✓,"","",2020-05-12T15:40:00-07:00 Los_Angeles,"",cov,57815,2019-09-17T15:15:24-07:00 Los_Angeles,"","","",Number,"",Rm 107 Wifi Count,✓,"","","",✓,"","","",✓,@p:ubcv:r:20a64ab3-047cdcb3 Lasserre,"","","","",Los_Angeles,"","","","",✓,767,2020-02-26T18:09:19Z UTC
@p:ubcv:r:263b76b5-20ed2ca7 Lasserre Elec Main Meter Power,"","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,42.38785171508789kW,"","",$equipRef $navName,✓,"","",@p:ubcv:r:20a64ab3-ceb20092 Lasserre Elec Main Meter,"",@p:ubcv:r:21697fca-7b3139ff Lasserre Utilities,✓,5kW,15min,2020-05-12T15:30:00-07:00 Los_Angeles,"","",332223,2011-03-31T17:00:00-07:00 Los_Angeles,ok,"","",Number,"",Power,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Lasserre_028.Elec_Power,✓,✓,"",✓,116,✓,@p:ubcv:r:20a64ab3-047cdcb3 Lasserre,54,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kW,✓,"","","","",2020-05-12T08:00:09.841Z UTC
@p:ubcv:r:263b76b4-f5d94f83 Lasserre Elec Main Meter Energy,"","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,4788556kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:20a64ab3-ceb20092 Lasserre Elec Main Meter,"",@p:ubcv:r:21697fca-7b3139ff Lasserre Utilities,✓,"",15min,2020-05-12T15:30:00-07:00 Los_Angeles,"",consumption,319752,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Energy,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Lasserre_028.Elec_Energy,✓,✓,"","",10393,✓,@p:ubcv:r:20a64ab3-047cdcb3 Lasserre,54,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"","","","",2020-05-04T19:39:55.243Z UTC
@p:ubcv:r:2514171e-09f23a04 Lasserre Rm 102 Wifi Count,"","","",028.FLR1.AHU1-102,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",0,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2514171e-6e482992 Lasserre Wifi,✓,"","",2020-05-12T15:40:00-07:00 Los_Angeles,"",cov,57474,2019-09-17T15:15:24-07:00 Los_Angeles,"","","",Number,"",Rm 102 Wifi Count,✓,"","","",✓,"","","",✓,@p:ubcv:r:20a64ab3-047cdcb3 Lasserre,"","","","",Los_Angeles,"","","","",✓,764,2020-02-26T18:09:19.417Z UTC
@p:ubcv:r:263b76b4-b063f6d9 Lasserre Water Main Meter Consumption,"","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,55744.3046875m³,"","",$equipRef $navName,"","","",@p:ubcv:r:20a64ab3-0bb9894a Lasserre Water Main Meter,"",@p:ubcv:r:21697fca-7b3139ff Lasserre Utilities,✓,"",15min,2020-05-12T15:30:00-07:00 Los_Angeles,"",consumption,319752,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Consumption,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Lasserre_028.Water_Volume,✓,✓,"","",10394,✓,@p:ubcv:r:20a64ab3-047cdcb3 Lasserre,54,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,m³,✓,✓,✓,"","",2020-05-04T19:39:55.239Z UTC
@p:ubcv:r:20a64ab3-800e30a9 Lasserre HW Main Meter Energy,@p:ubcv:r:21cad068-7dcb14b3 LASR DES Meter,AI1,✓,"",@p:ubcv:r:21cad068-7dcb14b3 LASR DES Meter,"",✓,MWh => kWh,ok,2615270.01953125kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:20a64ab3-770de7fd Lasserre HW Main Meter,"",@p:ubcv:r:21697fca-7b3139ff Lasserre Utilities,✓,"",15min,2020-05-12T15:30:00-07:00 Los_Angeles,"",consumption,139552,2016-05-05T11:15:00-07:00 Los_Angeles,ok,✓,✓,Number,"",Energy,"","","","",✓,"","",10364,✓,@p:ubcv:r:20a64ab3-047cdcb3 Lasserre,54,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"",✓,"","",2020-04-28T00:03:36.258Z UTC
@p:ubcv:r:2514171e-a55675a1 Lasserre Rm 105 Wifi Count,"","","",028.FLR1.AHU1-105,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",1,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2514171e-6e482992 Lasserre Wifi,✓,"","",2020-05-12T15:40:12-07:00 Los_Angeles,"",cov,56916,2019-09-17T15:15:24-07:00 Los_Angeles,"","","",Number,"",Rm 105 Wifi Count,✓,"","","",✓,"","","",✓,@p:ubcv:r:20a64ab3-047cdcb3 Lasserre,"","","","",Los_Angeles,"","","","",✓,766,2020-02-26T18:09:19.157Z UTC
@p:ubcv:r:21dffdad-6413e4cd Lasserre HW Main Meter Leaving Water Temp,@p:ubcv:r:21cad068-7dcb14b3 LASR DES Meter,AI10,✓,"",@p:ubcv:r:21cad068-7dcb14b3 LASR DES Meter,"",✓,"",ok,52.04999923706055°C,"","",$equipRef $navName,"","","",@p:ubcv:r:20a64ab3-770de7fd Lasserre HW Main Meter,"",@p:ubcv:r:21697fca-7b3139ff Lasserre Utilities,✓,0.5°C,10min,2020-05-12T15:40:00-07:00 Los_Angeles,"",consumption,180221,2018-01-03T14:00:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","","",✓,"","","",✓,@p:ubcv:r:20a64ab3-047cdcb3 Lasserre,"","","",✓,Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:36.259Z UTC
