id,ahu,ahuMode,air,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,chilled,cmd,co2,connRef,cool,cooling,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,final,flow,groupRef,heat,heating,heatingMode,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,kind,lastSynced,lastTagged,leaving,lifeBAHU1_VAV,lifeBAHU2_VAV,lifePHAHU1_VAV,life_B_AHU2,life_PHAHU2_VAV,lowLim,mixed,mode,motion,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,point,pointType,power,pressure,ptTest,pump,quantityID,return,run,scheduleOcc,sensor,shortName,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,static,tagTableRef,tags,temp,testUnits,tlName,transfer,tz,unit,utilityPoint,valve,vav,vavMode,volume,water,zone,mod
@p:ubcv:r:24c8a25a-ff4de149 Life Building Unsorted Points THX_F_P7_P8_FLOW,"","","",@p:ubcv:r:236ca830-bc70345b LIFE LIFE_THERMENEX_560200,"",TL158,✓,THX_F_P7_P8_FLOW,"","","",@p:ubcv:r:236ca830-bc70345b LIFE LIFE_THERMENEX_560200,"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:2389c0b8-5af5510c Life Building Unsorted Points,✓,"","","","","","",@p:ubcv:r:2389c0b8-03abd2d1 Life Building Unsorted Points,"","","","",✓,"","","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",28086,2019-07-22T09:45:00-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:38:24.972-07:00 Los_Angeles,"","","","","","","","","","","",THX_F_P7_P8_FLOW,✓,AV74,"","","","","",✓,"","","","","","","","","","",THX_F_P7_P8_FLOW,@p:ubcv:r:233e8755-001dd5ba Life Building,"","","","","","","","","","",THX_F_P7_P8_FLOW_TL,"",Los_Angeles,L/s,"","","","","","","",2020-04-09T19:02:18.539Z UTC
@p:ubcv:r:236e3d61-47f0b81e Life Building Unsorted Points G_VAV26_STARBUCKS_SAT,"","",✓,@p:ubcv:r:236ca423-07bcdcbe LIFE G_VAV26_STARBUCKS AHU2,"",TL7,✓,G_VAV26_STARBUCKS_SAT,"","","",@p:ubcv:r:236ca423-07bcdcbe LIFE G_VAV26_STARBUCKS AHU2,"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:2389c0b8-5af5510c Life Building Unsorted Points,✓,"","","","","","",@p:ubcv:r:2389c0b8-03abd2d1 Life Building Unsorted Points,"","","","",✓,"","","",2020-05-12T15:38:14-07:00 Los_Angeles,"","","",80733,2018-10-29T22:24:16-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:40:40.357-07:00 Los_Angeles,2019-01-23T16:53:21.124-08:00 Los_Angeles,"","","","","","","","","","",Discharge Air Temp,"",AI1,"","","","","",✓,"","","","","","","","","",✓,"",@p:ubcv:r:233e8755-001dd5ba Life Building,"","","","","","",@p:ubcv:r:24c508d8-1a2e5947 .+_SAT(_MUX)?(_TL)?,"",✓,"",G_VAV26_STARBUCKS_SAT_TL,"",Los_Angeles,°C,"","","","","","","",2020-04-09T19:02:18.169Z UTC
@p:ubcv:r:236e3d96-d20f6a28 Life Building Unsorted Points THX_E_AHU_P_E1_FLOW,"","","",@p:ubcv:r:236ca854-6cf18896 LIFE LIFE_AHU1/AHU2/EF1,"",TL91,✓,THX_E_AHU_P_E1_FLOW,"","","",@p:ubcv:r:236ca854-6cf18896 LIFE LIFE_AHU1/AHU2/EF1,"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:2389c0b8-5af5510c Life Building Unsorted Points,✓,"","","","","","",@p:ubcv:r:2389c0b8-03abd2d1 Life Building Unsorted Points,"","","","",✓,"","","",2020-05-12T15:38:00-07:00 Los_Angeles,"","","",800269,2018-10-31T18:12:00-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:38:25.244-07:00 Los_Angeles,2018-11-28T16:32:32.893-08:00 Los_Angeles,"","","","","","","","","","",THX_E_AHU_P_E1_FLOW,✓,AV123,"","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:233e8755-001dd5ba Life Building,"","","","","","","","","","",THX_E_AHU_P_E1_FLOW_TL,"",Los_Angeles,L/s,"","","","","","","",2020-04-09T19:02:18.19Z UTC
@p:ubcv:r:236e3fb4-bb0d8ece Life Building Unsorted Points THX_D_MGH_DP_SP,"","","",@p:ubcv:r:236ca830-bc70345b LIFE LIFE_THERMENEX_560200,"",TL34,✓,THX_D_MGH_DP_SP,"","","",@p:ubcv:r:236ca830-bc70345b LIFE LIFE_THERMENEX_560200,"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:2389c0b8-5af5510c Life Building Unsorted Points,✓,"","","","","","",@p:ubcv:r:2389c0b8-03abd2d1 Life Building Unsorted Points,"","","","",✓,"","","",2020-05-12T15:35:00-07:00 Los_Angeles,"","","",161659,2018-10-29T06:00:00-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:38:25.055-07:00 Los_Angeles,2018-11-28T16:32:43.998-08:00 Los_Angeles,"","","","","","","","","","",THX_D_MGH_DP_SP,✓,AV415,"","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:233e8755-001dd5ba Life Building,"","","","","","","","","","",THX_D_MGH_DP_SP_TL,"",Los_Angeles,kPa,"","","","","","","",2020-04-09T19:02:18.541Z UTC
@p:ubcv:r:236cb259-35c4ceea Life Building Unsorted Points ATHLETICS_B_VAV05_RM0057D_DMP,"","",✓,@p:ubcv:r:236ca3c3-746dcacb LIFE ATHLETICS_B_VAV05_RM0057D B_AHU_1 CP560008,"",TL6,✓,ATHLETICS_B_VAV05_RM0057D_DMP,"",✓,"",@p:ubcv:r:236ca3c3-746dcacb LIFE ATHLETICS_B_VAV05_RM0057D B_AHU_1 CP560008,"","","","","","",✓,"","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:2389c0b8-5af5510c Life Building Unsorted Points,✓,"","","","","","",@p:ubcv:r:2389c0b8-03abd2d1 Life Building Unsorted Points,"","","","",✓,"","","",2020-05-12T15:38:49-07:00 Los_Angeles,"","","",80895,2018-10-28T17:18:21-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:40:31.329-07:00 Los_Angeles,2019-01-23T16:53:24.853-08:00 Los_Angeles,"",✓,"","","","","","","","",Discharge Air Damper Cmd,"",AV16,"","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:233e8755-001dd5ba Life Building,"","","","","","",@p:ubcv:r:23e65d0e-f295c554 (.+_)?VAV.+_DMP(_TL)?,"","","",ATHLETICS_B_VAV05_RM0057D_DMP_TL,"",Los_Angeles,%,"","",✓,"","","","",2020-04-09T19:02:17.836Z UTC
@p:ubcv:r:236e3b1f-c9d42ff0 Life Building Unsorted Points G_VAV02_RM1311_RT_SP,"","",✓,@p:ubcv:r:236ca423-6f11f827 LIFE G_VAV02_RM1311 AHU1 CP560035,"",TL2,✓,G_VAV02_RM1311_RT_SP,"","","",@p:ubcv:r:236ca423-6f11f827 LIFE G_VAV02_RM1311 AHU1 CP560035,"","","","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","",@p:ubcv:r:2389c0b8-5af5510c Life Building Unsorted Points,✓,"","","","","","",@p:ubcv:r:2389c0b8-03abd2d1 Life Building Unsorted Points,"","","","",✓,"","","",2020-05-12T15:39:25-07:00 Los_Angeles,"","","",80733,2018-10-29T22:08:41-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:40:40.569-07:00 Los_Angeles,2019-01-23T16:53:21.061-08:00 Los_Angeles,"","","","","","","","","","",Zone Temp Effective Sp,"",AV6,"","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:233e8755-001dd5ba Life Building,"",✓,"","","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,"",✓,"",G_VAV02_RM1311_RT_SP_TL,"",Los_Angeles,°C,"","","","","","",✓,2020-04-09T19:02:17.941Z UTC
@p:ubcv:r:236e3fb4-88c7de8f Life Building Unsorted Points THX_TS_HXA2_SOURCE_R,"","","",@p:ubcv:r:236ca830-bc70345b LIFE LIFE_THERMENEX_560200,"",TL31,✓,THX_TS_HXA2_SOURCE_R,"","","",@p:ubcv:r:236ca830-bc70345b LIFE LIFE_THERMENEX_560200,"","","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:2389c0b8-5af5510c Life Building Unsorted Points,✓,"","","","","","",@p:ubcv:r:2389c0b8-03abd2d1 Life Building Unsorted Points,"","","","",✓,"","","",2020-05-12T15:35:00-07:00 Los_Angeles,"","","",161659,2018-10-29T06:00:00-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:38:25.082-07:00 Los_Angeles,2018-11-28T16:32:55.51-08:00 Los_Angeles,"","","","","","","","","","",THX_TS_HXA2_SOURCE_R,✓,AI1606,"","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:233e8755-001dd5ba Life Building,"","","","","","","","","","",THX_A_HGS_TS_HXA2_SOURCE_R_TL,"",Los_Angeles,°C,"","","","","","","",2020-04-09T19:02:18.543Z UTC
@p:ubcv:r:236e3d96-2333caa6 Life Building Unsorted Points PH_AHU2_SF2_SPD,"","","",@p:ubcv:r:236ca854-6cf18896 LIFE LIFE_AHU1/AHU2/EF1,"",TL56,✓,PH_AHU2_SF2_SPD,"",✓,"",@p:ubcv:r:236ca854-6cf18896 LIFE LIFE_AHU1/AHU2/EF1,"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:2389c0b8-5af5510c Life Building Unsorted Points,✓,"",✓,"","","","",@p:ubcv:r:2389c0b8-03abd2d1 Life Building Unsorted Points,"","","","",✓,"","","",2020-05-12T15:38:00-07:00 Los_Angeles,"","","",402625,2018-10-30T18:46:00-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:38:25.273-07:00 Los_Angeles,2019-01-23T16:53:09.427-08:00 Los_Angeles,"","","","","","","","","","",Discharge Fan Speed Cmd,"",AO3202,"","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:233e8755-001dd5ba Life Building,"","",✓,"","","",@p:ubcv:r:25018dfc-0b606eb0 .+_SF(\d+)?(_VFD)?_SPD(_AV)?(_TL)?,"","","",THX_AHU2_SF2_SPD_TL,"",Los_Angeles,%,"","","","","","","",2020-04-09T19:02:18.191Z UTC
@p:ubcv:r:236cb2ae-acd9db6b Life Building Unsorted Points G_VAV34_CORE_DMP_CL,"","","",@p:ubcv:r:236ca3c3-4de28b5b LIFE G_VAV34_CORE AHU2 CP560020,"",TL92,✓,G_VAV34_CORE_DMP_CL,"","","",@p:ubcv:r:236ca3c3-4de28b5b LIFE G_VAV34_CORE AHU2 CP560020,"","","","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:2389c0b8-5af5510c Life Building Unsorted Points,✓,"","","","","","",@p:ubcv:r:2389c0b8-03abd2d1 Life Building Unsorted Points,"","","","",✓,"","","",2020-05-12T06:35:42-07:00 Los_Angeles,"","","",19563,2018-10-29T04:01:21-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:40:40.264-07:00 Los_Angeles,2018-11-28T16:32:44.224-08:00 Los_Angeles,"","","","","","","","","","",G_VAV34_CORE_DMP_CL,✓,BO6,"","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:233e8755-001dd5ba Life Building,"","","","","","","","","","",G_VAV34_CORE_Dmp_Open_TL*,"",Los_Angeles,"","","","","","","","",2020-04-08T23:17:37.229Z UTC
@p:ubcv:r:236e3c3a-9ec64ffb Life Building Unsorted Points G_VAV09_RM1002_FLW_SP,"","",✓,@p:ubcv:r:236ca423-c84f6cc2 LIFE G_VAV09_RM1002 AHU2 CP560046,"",TL4,✓,G_VAV09_RM1002_FLW_SP,"","","",@p:ubcv:r:236ca423-c84f6cc2 LIFE G_VAV09_RM1002 AHU2 CP560046,"","","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","",@p:ubcv:r:2389c0b8-5af5510c Life Building Unsorted Points,✓,"","","","","",✓,@p:ubcv:r:2389c0b8-03abd2d1 Life Building Unsorted Points,"","","","",✓,"","","",2020-05-12T15:36:49-07:00 Los_Angeles,"","","",80728,2018-10-29T22:17:41-07:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:40:40.948-07:00 Los_Angeles,2019-01-23T16:53:04.707-08:00 Los_Angeles,"","","","","","","","","","",Discharge Air Flow Sp,"",AV5,"","","","","",✓,"","","","","","","","","","","",@p:ubcv:r:233e8755-001dd5ba Life Building,"",✓,"","","","",@p:ubcv:r:23e65d0e-5f6d8aaa (.+_)?(V|S)AVS?.+_FLO?W_SP(_LPS|_TL)?,"","","",G_VAV09_RM1002_FLW_SP_TL,"",Los_Angeles,L/s,"","","","","","","",2020-04-09T19:02:18.055Z UTC
