id,ahu,air,average,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,boiler,bypass,chilled,chiller,close,cmd,co2,condenser,connRef,cool,cooling,coolingTower,covTest,cur,curConvert,curStatus,curVal,custom,damper,delta,deltaTempPoint,differential,disMacro,disabled,discharge,district,effective,efficiency,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,groupRef,heat,heating,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidifier,humidity,kind,lastSynced,lastTagged,leaving,load,lowLim,max,min,mixed,moaAHU_CMD,moaAHU_SA,moaAHU_SP,moaSteam,mode,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,open,outside,point,pointRef,pointType,power,preFilter,pressure,primaryLoop,ptTest,pump,quantityID,return,roomRef,run,runtime,secondaryLoop,sensor,setpointRef,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,static,tagTableRef,tags,temp,testUnits,tlName,tz,unit,utilityPoint,valve,vavMode,water,zone,mod
@p:ubcv:r:236b8142-8506754a MOA AHU-03 AHU03S_RVN_RT,"",✓,"",✓,@p:ubcv:r:236b6da0-e08e245c MOA 570.0 MOA_AHU3 (510300),"",TL36,✓,AHU03S_RVN_RT,"","","","","","","","",@p:ubcv:r:236b6da0-e08e245c MOA 570.0 MOA_AHU3 (510300),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:23777bc2-206f0665 MOA AHU-03,✓,"","","","","",@p:ubcv:r:2203b248-fb62c0af MOA Air Systems,"","","",✓,"","","",2020-05-12T15:40:00-07:00 Los_Angeles,"","","",81346,2018-10-25T16:10:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:45:52.586-07:00 Los_Angeles,2020-04-08T11:37:14.546-07:00 Los_Angeles,"","","","","","","","","","","",Zone Temp,"",AI301,"","","","","","",✓,"","","","","","","","","","","","","","",✓,"",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"",✓,"",AHU03S_RVN_RT_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:58.719Z UTC
@p:ubcv:r:236b8118-0551dcf5 MOA Rm 160 VAV-20-02 VAV_20_02_RT_RM160_Test_TL,"","","","",@p:ubcv:r:236b7695-2f58e445 MOA MOA_VAV_20_02_RM160 (512002),"",TL16,✓,VAV_20_02_RT_RM160_Test_TL,"","","","","","","","",@p:ubcv:r:236b7695-2f58e445 MOA MOA_VAV_20_02_RM160 (512002),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:237794a4-86ac91dc MOA Rm 160 VAV-20-02,✓,"","","","","",@p:ubcv:r:237794a4-65cdf3e9 MOA Floor 1,"","","",✓,"","","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",27095,2018-10-25T16:30:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:41:23.46-07:00 Los_Angeles,2018-11-28T16:32:31.86-08:00 Los_Angeles,"","","","","","","","","","","",VAV_20_02_RT_RM160_Test_TL,✓,"","","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:237794a4-79a685eb MOA Rm 160,"","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","","","","","","",Los_Angeles,_,"","","","","",2020-04-09T19:15:04.079Z UTC
@p:ubcv:r:236b7fd8-40a1890c MOA Rm 221B VAV-221B VAV221B_RT_SP,"",✓,"","",@p:ubcv:r:236b774d-0bb2b9e2 MOA MOA_VAV221B_RM221B (512209),"",TL2,✓,VAV221B_RT_SP,"","","","","","","","",@p:ubcv:r:236b774d-0bb2b9e2 MOA MOA_VAV221B_RM221B (512209),"","","","","","","","","","","","","",$equipRef $bmsName,"","","",✓,"","","","","","","","",@p:ubcv:r:23778c9a-9b0706fc MOA Rm 221B VAV-221B,✓,"","","","","",@p:ubcv:r:23778c9a-08edf20c MOA Floor 2,"","","",✓,"","","",2020-05-12T15:43:32-07:00 Los_Angeles,"","","",80550,2018-10-29T06:30:06-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:50:42.771-07:00 Los_Angeles,2019-01-23T16:53:10.611-08:00 Los_Angeles,"","","","","","","","","","","",Zone Temp Effective Sp,"",AV6,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:23778c9a-6fc656cd MOA Rm 221B,"","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"",✓,"","","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,"",✓,"",VAV221B_RT_SP_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:59.755Z UTC
@p:ubcv:r:236b7e4e-5c79fb46 MOA Rm 223A FC-05 FC05_RM223A_RT,"",✓,"","",@p:ubcv:r:236b7bdf-fce148f6 MOA MOA_FC05_RM223A (512285),"",TL91,✓,FC05_RM223A_RT,"","","","","","","","",@p:ubcv:r:236b7bdf-fce148f6 MOA MOA_FC05_RM223A (512285),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:2378725b-fd28db5a MOA Rm 223A FC-05,✓,"","","","","",@p:ubcv:r:23778c9a-08edf20c MOA Floor 2,"","","",✓,"","","",2020-05-12T15:30:00-07:00 Los_Angeles,"","","",27102,2018-10-25T16:00:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:48:06.046-07:00 Los_Angeles,2018-11-28T16:33:02.439-08:00 Los_Angeles,"","","","","","","","","","","",Zone Temp,"",AI101,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:2378725b-837e673f MOA Rm 223A,"","","",✓,"",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"",✓,"",FC05_RT_Test_TL,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:59.942Z UTC
@p:ubcv:r:236b813f-720f2ace MOA AHU-04 AHU04_DSP,"",✓,"","",@p:ubcv:r:236b6da0-c1c0b380 MOA 570.0 MOA_AHU4 (510400),"",TL29,✓,AHU04_DSP,"","","","","","","","",@p:ubcv:r:236b6da0-c1c0b380 MOA 570.0 MOA_AHU4 (510400),"","","","","","","","","","","","","",$equipRef $bmsName,"",✓,"","","","","","","","","","",@p:ubcv:r:23777bc2-58680381 MOA AHU-04,✓,"","","","","",@p:ubcv:r:2203b248-fb62c0af MOA Air Systems,"","","",✓,"","","",2020-05-12T15:40:00-07:00 Los_Angeles,"","","",81345,2018-10-25T16:00:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:45:13.957-07:00 Los_Angeles,2019-01-23T16:53:22.129-08:00 Los_Angeles,"","","","","","","","","","","",Discharge Air Static Pressure,"",AI101,"","","","","","",✓,"","","","",✓,"","","","","","","","","",✓,"",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","",✓,@p:ubcv:r:2413228e-d67903e1 (.+_)?AHU_?\d+\w?(_\d+\w?)?_DSP(_AV)?(_TL)?,"","","",AHU04_DSP_TL,Los_Angeles,Pa,"","","","","",2020-04-09T19:01:58.761Z UTC
@p:ubcv:r:236b80d2-704d6aff MOA AHU-21B AHU21B_RAT_SP,"","","","",@p:ubcv:r:236b6da0-8ac80add MOA 570.0 MOA_AHU21A_AHU21B (512100),"",TL56,✓,AHU21B_RAT_SP,"","","","","","","","",@p:ubcv:r:236b6da0-8ac80add MOA 570.0 MOA_AHU21A_AHU21B (512100),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:23777bc2-6e9e0523 MOA AHU-21B,✓,"","","","","",@p:ubcv:r:2203b248-fb62c0af MOA Air Systems,"","","",✓,"","","",2020-05-12T15:42:40-07:00 Los_Angeles,"","","",80596,2018-10-29T06:56:11-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:45:17.161-07:00 Los_Angeles,2019-01-23T16:53:02.183-08:00 Los_Angeles,"","","","","","","","","","","",AHU21B_RAT_SP,✓,AV42,"","","","","","",✓,"","","","","","","","","","","","","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","","","","","",AHU21B_RAT_SP_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:01:59.503Z UTC
@p:ubcv:r:236b8146-721ff822 MOA AHU-02 AHU02_RH2_SP,"","","","",@p:ubcv:r:236b6b91-6388f04f MOA 570.0 MOA_AHU2 (510200),"",TL39,✓,AHU02_RH2_SP,"","","","","","","","",@p:ubcv:r:236b6b91-6388f04f MOA 570.0 MOA_AHU2 (510200),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:23777bc2-6fa16081 MOA AHU-02,✓,"","","","","",@p:ubcv:r:2203b248-fb62c0af MOA Air Systems,"","","",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",54941,2018-10-25T16:10:00-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:45:52.057-07:00 Los_Angeles,2018-11-28T16:32:52.574-08:00 Los_Angeles,"","","","","","","","","","","",AHU02_RH2_SP,✓,AV46,"","","","","","",✓,"","","","","","","","","","","","","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","","","","","",AHU02_RH2_SP_TL,Los_Angeles,%,"","","","","",2020-04-09T19:01:58.683Z UTC
@p:ubcv:r:236b8bda-0737bd53 MOA AHU-10 AHU10_AVG_ZONE_RT,"",✓,"",✓,@p:ubcv:r:21c2dd6d-f2181485 MOA AHU-10 (510900),"",TL5,✓,AHU10_AVG_ZONE_RT,"","","","","","","","",@p:ubcv:r:21c2dd6d-f2181485 MOA AHU-10 (510900),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:23777bc2-d94ebc40 MOA AHU-10,✓,"","","","","",@p:ubcv:r:2203b248-fb62c0af MOA Air Systems,"","","",✓,"","","",2020-05-12T15:34:02-07:00 Los_Angeles,"","","",81000,2018-10-27T21:09:56-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:38:52.517-07:00 Los_Angeles,2020-05-07T05:20:51.762-07:00 Los_Angeles,"","","","","","","","","","","",Average Zone Temp,"",AV22,"","","","","","",✓,"","","","","","","","","","","","","","",✓,"",@p:ubcv:r:20816d13-3f7b84c8 MOA,"","","","","","",@p:ubcv:r:244376a8-f0dfeae8 .+_RT(_AVG?)?(_LL\d+)?(_TL)?,"",✓,"",AHU10_RT_TL,Los_Angeles,°C,"","","","",✓,2020-05-07T12:20:51.764Z UTC
@p:ubcv:r:236b7e7a-24d730ae MOA Rm 225 FC-03 FC03_RH_SP,"",✓,"","",@p:ubcv:r:236b7bdf-ac3fefc3 MOA MOA_FC03_RM225 (512283),"",TL4,✓,FC03_RH_SP,"","","","","","","","",@p:ubcv:r:236b7bdf-ac3fefc3 MOA MOA_FC03_RM225 (512283),"","","","","","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","","","",@p:ubcv:r:2378725b-e7781f12 MOA Rm 225 FC-03,✓,"","","","","",@p:ubcv:r:23778c9a-08edf20c MOA Floor 2,"","","",✓,"","","",2020-05-12T15:50:00-07:00 Los_Angeles,"","","",80985,2018-10-27T20:50:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:50:40.516-07:00 Los_Angeles,2019-01-23T16:52:49.247-08:00 Los_Angeles,"","","","","","","","","","","",Zone Relative Humidity Sp,"",AV14,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:2378725b-ddca7757 MOA Rm 225,"","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"",✓,"","","","",@p:ubcv:r:23e65d0f-21ed9a49 .+_RH_SP(_TL)?,"","",✓,FC03_RH_SP_TL,Los_Angeles,%,"","","","",✓,2020-04-21T20:16:02.021Z UTC
@p:ubcv:r:236b8063-107f8081 MOA Rm 219 VAV-219 VAV219_RT_SP,"",✓,"","",@p:ubcv:r:236b774d-b0c4e8cd MOA MOA_VAV219_RM219 (512203),"",TL2,✓,VAV219_RT_SP,"","","","","","","","",@p:ubcv:r:236b774d-b0c4e8cd MOA MOA_VAV219_RM219 (512203),"","","","","","","","","","","","","",$equipRef $bmsName,"","","",✓,"","","","","","","","",@p:ubcv:r:23778fc3-4fee2065 MOA Rm 219 VAV-219,✓,"","","","","",@p:ubcv:r:23778c9a-08edf20c MOA Floor 2,"","","",✓,"","","",2020-05-12T15:32:43-07:00 Los_Angeles,"","","",80539,2018-10-29T06:29:17-07:00 Los_Angeles,ok,"","","","",Number,2020-05-12T15:38:59.464-07:00 Los_Angeles,2019-01-23T16:52:59.578-08:00 Los_Angeles,"","","","","","","","","","","",Zone Temp Effective Sp,"",AV6,"","","","","","",✓,"","","","","","","","","","",@p:ubcv:r:23778fc3-1b411fde MOA Rm 219,"","","","","",@p:ubcv:r:20816d13-3f7b84c8 MOA,"",✓,"","","","",@p:ubcv:r:23e65d0f-9a7e5f45 .+_RT_SP(_AV)?(_TL)?,"",✓,"",VAV219_RT_SP_TL,Los_Angeles,°C,"","","","",✓,2020-05-12T11:03:25.379Z UTC
