id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,boiler,chilled,cmd,connRef,cooling,curStatus,disMacro,discharge,domestic,effective,elec,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,gas,groupRef,heating,his,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,jci,kind,lastSynced,leaving,low,navName,noTagMatch,objectId,outside,parcHtgEnergy,parc_Meter,perimeterHeat,point,pointType,power,pressure,pump,quantityID,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,sqlSource,tagTableRef,tags,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:245f4bac-fa971087 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-14.Parameters.EFFCLG-SP,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AV3000657,TL3001045,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-14.Parameters.EFFCLG-SP,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),✓,unknown,$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:32.76-07:00 Los_Angeles,"","",Zone Temp Effective Cooling Sp,"",AV3000657,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"",✓,"","","","",@p:ubcv:r:240c1e06-1955c0a3 .+(\.|-| )(EFF|ACT)CLG-?SP,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-14.Parameters.EFFCLG-SP.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.819Z UTC
@p:ubcv:r:245f4bac-a3bdbcb1 Parc Library Unsorted Points JCL-NAE07/Programming.HRV-02.Average zone temperature,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AV3004370,TL3004371,✓,JCL-NAE07/Programming.HRV-02.Average zone temperature,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",50574,2019-05-02T12:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:32.765-07:00 Los_Angeles,"","",JCL-NAE07/Programming.HRV-02.Average zone temperature,✓,AV3004370,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/Programming.HRV-02.Average zone temperature.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:01:57.82Z UTC
@p:ubcv:r:245f4baa-6bf6e5c7 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-16.HTG-O,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AO3000177,TL3000696,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-16.HTG-O,"","",✓,@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,✓,✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"",✓,"",✓,Number,2020-05-12T15:53:32.767-07:00 Los_Angeles,"","",Heating Valve Cmd,"",AO3000177,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-16.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:01:57.821Z UTC
@p:ubcv:r:245f4bac-7a361b5f Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-27.DHWT-T,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AI3000311,TL3000975,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-27.DHWT-T,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49766,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:32.772-07:00 Los_Angeles,"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-27.DHWT-T,✓,AI3000311,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-27.DHWT-T.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:01:57.822Z UTC
@p:ubcv:r:245f4bac-9015ac02 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-24.Parameters.OALT-SP,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AV3000864,TL3001057,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-24.Parameters.OALT-SP,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:46:14-07:00 Los_Angeles,"","",18982,2019-05-02T14:38:46-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:32.763-07:00 Los_Angeles,"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-24.Parameters.OALT-SP,✓,AV3000864,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-24.Parameters.OALT-SP.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:01:57.823Z UTC
@p:ubcv:r:245f4baa-cb0170a6 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-16.SF-S,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),BI3000182,TL3000698,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-16.SF-S,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,✓,"","","","","","","Off,On","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"",✓,"",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-09T11:06:13-07:00 Los_Angeles,"","",1597,2019-05-01T01:22:15-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T15:53:32.725-07:00 Los_Angeles,"","",Discharge Fan Run Status,"",BI3000182,"","","","",✓,"","","","","",✓,"",✓,@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-16.SF-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:27.974Z UTC
@p:ubcv:r:245f4baa-11533fd3 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-18.CLG-O,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AO3000200,TL3000759,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-18.CLG-O,"",✓,✓,@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),✓,unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:32.774-07:00 Los_Angeles,"","",Cooling Valve Cmd,"",AO3000200,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-51bf01a3 .+(\.|-| )CLG-(O|VLV),"","",JCL-NAE07/FCB-01.JCL-NAE03  FEC-18.CLG-O.Trend1,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:01:57.824Z UTC
@p:ubcv:r:245f4bac-c385dd07 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  FEC-04.Parameters.EFFHTG-SP,✓,"",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AV3000350,TL3001024,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-04.Parameters.EFFHTG-SP,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","",✓,"","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,✓,✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:32.781-07:00 Los_Angeles,"","",Zone Temp Effective Heating Sp,"",AV3000350,"","","","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"",✓,"","","","",@p:ubcv:r:2538b55e-15822785 .+(\.|-| )(EFF|ACT)HTG-?SP,"",✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-04.Parameters.EFFHTG-SP.Trend1,Los_Angeles,°C,"","","","",✓,2020-04-09T19:01:57.825Z UTC
@p:ubcv:r:245f4bac-e0fa0d45 Parc Library Unsorted Points JCL-NAE07/FCB-01.JCL-NAE03  VND-31.Energy Total,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),AV3000240,TL3000839,✓,JCL-NAE07/FCB-01.JCL-NAE03  VND-31.Energy Total,"","","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $bmsName,"","","","","","","","","",@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-12T15:50:00-07:00 Los_Angeles,"","",49765,2019-05-03T04:00:00-07:00 Los_Angeles,ok,"","","",✓,Number,2020-05-12T15:53:32.787-07:00 Los_Angeles,"","",JCL-NAE07/FCB-01.JCL-NAE03  VND-31.Energy Total,✓,AV3000240,"",✓,"","",✓,"","","","","","","","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","","","","",JCL-NAE07/FCB-01.JCL-NAE03  VND-31.Energy Total.Trend1,Los_Angeles,kWh,"","","","","",2020-04-09T19:01:57.826Z UTC
@p:ubcv:r:245f4c25-12f098d7 Parc Library Unsorted Points P03 JCL-NAE07/FCB-01.JCL-NAE03  FEC-24.P03-C,"","",@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),BO3000253,TL3000852,✓,JCL-NAE07/FCB-01.JCL-NAE03  FEC-24.P03-C,"","",✓,@p:ubcv:r:21e6a524-282dfd53 PARC (NAE-07),"",unknown,$equipRef $equipName $bmsName,"","","","","","","","Off,On",P03,@p:ubcv:r:245f4b5e-6c5c14a0 Parc Library Unsorted Points,"","","",@p:ubcv:r:245f4b5e-e52d7f38 Parc Library Unsorted Points,"",✓,2020-05-09T11:09:06-07:00 Los_Angeles,"","",4356,2019-05-02T11:18:05-07:00 Los_Angeles,ok,"","","",✓,Bool,2020-05-12T15:53:32.727-07:00 Los_Angeles,"","",Run Cmd,"",BO3000253,"","","","",✓,"","","",✓,"",✓,"","",@p:ubcv:r:245f4037-5744aedf Parc Library,"","","","","","",@p:ubcv:r:23e65d3d-604110c2 .+(\.|-|_)C?H?P\d+(-)?C,"","","",Los_Angeles,"","","","","","",2020-05-12T11:03:27.511Z UTC
