id,air,ancillaryImport,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,chilled,cmd,co2,connRef,cooling,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,differential,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,flow,gas,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,kind,lastSynced,lastTagged,leaving,mixed,mode,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,power,pressure,primaryLoop,ptTest,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,tagTableRef,temp,testUnits,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:23d4ee85-7aa2f8b5 Ponderosa North Unsorted Points POND2_FC127_HCV,"","",@p:ubcv:r:23d4dde8-8660666c PONDN POND2_FC127_RM1254 (730127),"",TL3,✓,POND2_FC127_HCV,"",✓,"",@p:ubcv:r:23d4dde8-8660666c PONDN POND2_FC127_RM1254 (730127),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,✓,✓,"","","",2020-05-12T15:44:41-07:00 Los_Angeles,"","","",339558,2019-01-18T05:41:01-08:00 Los_Angeles,ok,"",✓,"",Number,2020-05-12T15:46:27.231-07:00 Los_Angeles,2019-01-23T16:52:54.024-08:00 Los_Angeles,"","","",Heating Valve Cmd,"",AO6,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","",@p:ubcv:r:2453b6df-d7db47fd .+_(P|\d+)?HCV(_AV|_TL)?,"","",POND2_FC127_HCV_TL,Los_Angeles,%,"",✓,"",✓,"",2020-04-09T19:02:38.095Z UTC
@p:ubcv:r:23d4f757-e577b903 Ponderosa North Unsorted Points POND2_EM16_CLG_ENERGY_KWH_MUX,"","",@p:ubcv:r:23d4dcf3-0370bdda PONDN POND2_EM1_TO_EM7_EM16_TO_EM20_CP730900 (730900),"",TL116,✓,POND2_EM16_CLG_ENERGY_KWH_MUX,"","","",@p:ubcv:r:23d4dcf3-0370bdda PONDN POND2_EM1_TO_EM7_EM16_TO_EM20_CP730900 (730900),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:00:00-07:00 Los_Angeles,"","","",11641,2019-01-13T13:00:00-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:48:01.585-07:00 Los_Angeles,"","","","",POND2_EM16_CLG_ENERGY_KWH_MUX,✓,AV1115,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_EM16_CLG_ENERGY_KWH_POLL_TL,Los_Angeles,kWh,"","","","","",2020-04-09T19:02:38.774Z UTC
@p:ubcv:r:23d4f718-f7b7e147 Ponderosa North Unsorted Points HRV_07_RF_S_BV,"","",@p:ubcv:r:23d4dcf3-1cf79c45 PONDN POND2_AHU_HRV_EF_CP730800 (730800),"",TL164,✓,HRV_07_RF_S_BV,"","","",@p:ubcv:r:23d4dcf3-1cf79c45 PONDN POND2_AHU_HRV_EF_CP730800 (730800),"","","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"",✓,"","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:45:00-07:00 Los_Angeles,"","","",46439,2019-01-14T09:00:00-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:53:34.117-07:00 Los_Angeles,2019-01-23T16:52:52.962-08:00 Los_Angeles,"","","",Return Fan Run Status,"",BV51,"","","","",✓,"","","","","","",✓,✓,"",✓,@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","",@p:ubcv:r:23e65d0e-7dacf8fc .+_RF\d?_S(_BV)?(_TL)?,"","",MV_pond_ph2_HRV07_RF_speed,Los_Angeles,"","","","","","",2020-04-08T18:49:31.248Z UTC
@p:ubcv:r:23d4f718-2a7d083f Ponderosa North Unsorted Points HRV_03_HC_DP,"","",@p:ubcv:r:23d4dcf3-1cf79c45 PONDN POND2_AHU_HRV_EF_CP730800 (730800),"",TL49,✓,HRV_03_HC_DP,"","","",@p:ubcv:r:23d4dcf3-1cf79c45 PONDN POND2_AHU_HRV_EF_CP730800 (730800),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:51:34-07:00 Los_Angeles,"","","",339891,2019-01-18T06:09:28-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:53:34.207-07:00 Los_Angeles,"","","","",HRV_03_HC_DP,✓,AI1403,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",HRV_03_HC_DP_POLL_TL,Los_Angeles,psi,"","","","","",2020-04-09T19:02:38.666Z UTC
@p:ubcv:r:23d4f0f4-b890ecec Ponderosa North Unsorted Points POND2_FC207_Operating Mode,"","",@p:ubcv:r:23d4e414-2d70d379 PONDN POND2_FC207_RM2210_eZFC (730207),"",TL3,✓,POND2_FC207_Operating Mode,"","","",@p:ubcv:r:23d4e414-2d70d379 PONDN POND2_FC207_RM2210_eZFC (730207),"","","","","","","","","",$equipRef $bmsName,"","","","","","","Occupied,FreezeOvrd,UnocHtg,UnocClg,UnocShutdown","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","-1 enumNumberToStr(self, false)",2020-05-12T07:00:35-07:00 Los_Angeles,"","","",715,2019-01-14T07:00:51-08:00 Los_Angeles,ok,"","","",Str,2020-05-12T15:49:40.32-07:00 Los_Angeles,"","","","",POND2_FC207_Operating Mode,✓,MSV12,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_FC207_Operating Mode TL,Los_Angeles,"","","","","","",2020-04-08T18:51:00.739Z UTC
@p:ubcv:r:23d4eff3-b979a80c Ponderosa North Unsorted Points AHU_04_OAD_FB,"","",@p:ubcv:r:23d4e39c-e29377ef PONDN UBC Ponderosa II AHU_3_4 (730160),"",TL10,✓,AHU_04_OAD_FB,"","","",@p:ubcv:r:23d4e39c-e29377ef PONDN UBC Ponderosa II AHU_3_4 (730160),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T15:34:48-07:00 Los_Angeles,"","","",46443,2019-01-14T08:32:43-08:00 Los_Angeles,ok,"","","",Number,2020-05-12T15:49:37.047-07:00 Los_Angeles,"","","","",AHU_04_OAD_FB,✓,AI7,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",MV_pond_ph2_AHU04_MAD_feedback,Los_Angeles,%,"","","","","",2020-04-09T19:02:38.142Z UTC
@p:ubcv:r:23d4f258-9094d8e3 Ponderosa North Unsorted Points POND2_FC237_Fan Mode,"","",@p:ubcv:r:23d4e414-44800194 PONDN POND2_FC237_RM2001_eZFC (730237),"",TL4,✓,POND2_FC237_Fan Mode,"","","",@p:ubcv:r:23d4e414-44800194 PONDN POND2_FC237_RM2001_eZFC (730237),"","","","","","","","","",$equipRef $bmsName,"","","","","","","Auto Fan,Fan Off,Fan Speed 1,Fan Speed 2,Fan Speed 3","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","-1 enumNumberToStr(self, false)","","","","","","",ok,"","","",Str,2020-05-12T15:51:09.324-07:00 Los_Angeles,"","","","",POND2_FC237_Fan Mode,✓,MSV8,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_FC237_Fan Mode TL,Los_Angeles,"","","","","","",2020-04-08T18:51:44.963Z UTC
@p:ubcv:r:23d4ebf0-a8fbac5f Ponderosa North Unsorted Points POND2_FCB104_FS_BV,"","",@p:ubcv:r:23d4dbdc-ca892df1 PONDN POND2_FCB104_RMB1033 (730004),"",TL14,✓,POND2_FCB104_FS_BV,"","","",@p:ubcv:r:23d4dbdc-ca892df1 PONDN POND2_FCB104_RMB1033 (730004),"","","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T04:59:44-07:00 Los_Angeles,"","","",522051,2019-01-18T06:20:33-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:49:36.619-07:00 Los_Angeles,"","","","",POND2_FCB104_FS_BV,✓,BV4,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_FS_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:53:36.507Z UTC
@p:ubcv:r:23d4ebda-fdcb5f85 Ponderosa North Unsorted Points POND2_WWHP_M4_C1_RUN_S_MUX,"","",@p:ubcv:r:21e2d345-153f0ba2 PONN Main Router (730000),"",TL466,✓,POND2_WWHP_M4_C1_RUN_S_MUX,"","","",@p:ubcv:r:21e2d345-153f0ba2 PONN Main Router (730000),"","","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-11T09:29:50-07:00 Los_Angeles,"","","",944,2019-05-06T14:26:19-07:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:47:41.312-07:00 Los_Angeles,"","","","",POND2_WWHP_M4_C1_RUN_S_MUX,✓,BV98,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_WWHP_M4_C1_RUN_S_MUX_TL,Los_Angeles,"","","","","","",2020-04-08T18:49:36.963Z UTC
@p:ubcv:r:23d4ec71-198f5770 Ponderosa North Unsorted Points POND2_FC105_FC,"","",@p:ubcv:r:23d4dde7-51be5470 PONDN POND2_FC105_RM1226_28 (730105),"",TL13,✓,POND2_FC105_FC,"","","",@p:ubcv:r:23d4dde7-51be5470 PONDN POND2_FC105_RM1226_28 (730105),"","","","","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:23d4ebcd-b497bd7a Ponderosa North Unsorted Points,✓,"","","","","",@p:ubcv:r:23d4ebcd-bd310ef0 Ponderosa North Unsorted Points,"",✓,"","","",2020-05-12T07:00:48-07:00 Los_Angeles,"","","",935,2019-01-14T07:01:03-08:00 Los_Angeles,ok,"","","",Bool,2020-05-12T15:50:39.631-07:00 Los_Angeles,"","","","",POND2_FC105_FC,✓,BO1,"","","","",✓,"","","","","","","","","","",@p:ubcv:r:20a65fd0-ef35b954 Ponderosa North,"","","","","","","","",POND2_FC_COV_TL,Los_Angeles,"","","","","","",2020-04-08T18:53:40.391Z UTC
