id,air,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,connRef,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,elec,energy,entering,enum,equipRef,exhaust,fan,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,kind,lastSynced,lastTagged,leaving,mixed,navName,noTagMatch,objectId,opcConnRef,opcCur,opcPoint,outside,point,power,pump,quantityID,return,run,scheduleOcc,sensor,siteRef,sourceID,sp,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:238b4247-22c0e61c Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-2.SJ-FLR1_RHC003-WC,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000284,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-FLR1_RHC003-WC,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.957-07:00 Los_Angeles,2018-11-25T13:45:24-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-2.SJ-FLR1_RHC003-WC,✓,AI3000077,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-2.SJ-FLR1_RHC003-WC.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.465Z UTC
@p:ubcv:r:238b4247-08a65e53 Sing Tao Unsorted Points JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Supply Flow,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001025,✓,JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Supply Flow,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25766,2018-11-20T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.959-07:00 Los_Angeles,2018-11-25T13:45:23.379-08:00 Los_Angeles,"","",JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Supply Flow,✓,AV3000451,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Supply Flow.Trend1,Los_Angeles,L/s,"","","","","",2020-04-09T19:02:17.466Z UTC
@p:ubcv:r:238b4247-8c28ccaa Sing Tao Unsorted Points JCL-NAE56/BACnet IP1.SJ-EMTR.Analog Inputs.AI-1,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001099,✓,JCL-NAE56/BACnet IP1.SJ-EMTR.Analog Inputs.AI-1,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T00:00:00-07:00 Los_Angeles,"","",541,2018-11-19T00:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.938-07:00 Los_Angeles,2018-11-25T13:45:23.317-08:00 Los_Angeles,"","",JCL-NAE56/BACnet IP1.SJ-EMTR.Analog Inputs.AI-1,✓,AI3001093,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/BACnet IP1.SJ-EMTR.Analog Inputs.AI-1.Trend1,Los_Angeles,MWh,"","","","","",2020-04-09T19:02:17.467Z UTC
@p:ubcv:r:238b4247-1f5f11df Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_EF6-DPR,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000195,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_EF6-DPR,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.962-07:00 Los_Angeles,2018-11-25T13:45:23.949-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_EF6-DPR,✓,AO3000030,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_EF6-DPR.Trend1,Los_Angeles,_,"","","","","",2020-04-09T19:15:20.428Z UTC
@p:ubcv:r:238b4247-138b6479 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_ZNT-SP,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3001920,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_ZNT-SP,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-04-09T04:29:06-07:00 Los_Angeles,"","",23,2018-12-20T12:32:55-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.926-07:00 Los_Angeles,2018-11-25T13:45:23.811-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_ZNT-SP,✓,AO3000046,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_ZNT-SP.Trend1,Los_Angeles,°C,"","","","","",2020-04-09T19:02:17.469Z UTC
@p:ubcv:r:238b4247-2a746bdb Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_SF-C,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000272,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_SF-C,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T12:30:03-07:00 Los_Angeles,"","",764,2018-11-19T06:00:05-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T20:08:38.946-07:00 Los_Angeles,2018-11-25T13:45:23.998-08:00 Los_Angeles,"","",JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_SF-C,✓,BO3000067,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/N2-1.SJ-DC-2.SJ-AHU2_SF-C.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:45.272Z UTC
@p:ubcv:r:238b4247-b8d61082 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_MA-DPR,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000200,✓,JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_MA-DPR,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","",✓,"","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",25469,2018-11-22T15:30:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.964-07:00 Los_Angeles,2018-11-25T13:45:24.029-08:00 Los_Angeles,"",✓,Mixed Air Damper Cmd,"",AO3000035,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3d-c8536712 .+(\.|-| |_)MA-DPR,"",JCL-NAE56/N2-1.SJ-DC-1.SJ-AHU1_MA-DPR.Trend1,Los_Angeles,%,"","","","","",2020-04-09T19:02:17.47Z UTC
@p:ubcv:r:238b4247-ec461be0 Sing Tao Unsorted Points JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Current Hourly Consumption,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000995,✓,JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Current Hourly Consumption,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-05-12T20:00:00-07:00 Los_Angeles,"","",12980,2018-11-18T16:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T20:08:38.966-07:00 Los_Angeles,2018-11-25T13:45:23.583-08:00 Los_Angeles,"","",JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Current Hourly Consumption,✓,AV3000447,"","","","",✓,"","","","","","","",@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","","","",JCL-NAE56/Programming.Energy.Energy Meter Peak and Usage Calc.Current Hourly Consumption.Trend1,Los_Angeles,MWh,"","","","","",2020-04-09T19:02:17.471Z UTC
@p:ubcv:r:238b4247-39593f2e Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-3.SJ-DHW_P5-S,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000355,✓,JCL-NAE56/N2-1.SJ-DC-3.SJ-DHW_P5-S,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,"","","",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-04-09T04:29:01-07:00 Los_Angeles,"","",16,2018-12-20T12:32:54-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T20:08:38.896-07:00 Los_Angeles,2018-12-07T09:45:31.743-08:00 Los_Angeles,"","",Pump Run Status,"",BI3000126,"","","","",✓,"",✓,"","",✓,"",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3d-742086c0 .+(\.|-|_)P\d+-(FS-)?S,"",JCL-NAE56/N2-1.SJ-DC-3.SJ-DHW_P5-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:33.153Z UTC
@p:ubcv:r:238b4247-4c1fa265 Sing Tao Unsorted Points JCL-NAE56/N2-1.SJ-DC-2.SJ-EF_EF1-S,✓,@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"",TL3000281,✓,JCL-NAE56/N2-1.SJ-DC-2.SJ-EF_EF1-S,"",@p:ubcv:r:21e6bcfc-6124a5f5 SOJ (NAE-56),"","","","","","","",$equipRef $bmsName,"","","","","Off,On",@p:ubcv:r:238b4245-b5fba92a Sing Tao Unsorted Points,✓,✓,"",@p:ubcv:r:238b4245-2bb2e550 Sing Tao Unsorted Points,"",✓,"","","",2020-04-09T04:29:01-07:00 Los_Angeles,"","",18,2018-12-20T12:32:56-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T20:08:38.9-07:00 Los_Angeles,2018-11-25T13:45:24.001-08:00 Los_Angeles,"","",Exhaust Fan Run Feedback,"",BI3000074,"","","","",✓,"","","","",✓,"",✓,@p:ubcv:r:20a661de-f242ffd0 Sing Tao,"","","","",@p:ubcv:r:23e65d3d-9d7111b8 .+(\.|-| |_)EF-?(\d+)?\w?-S,"",JCL-NAE56/N2-1.SJ-DC-2.SJ-EF_EF1-S.Trend1,Los_Angeles,"","","","","","",2020-04-08T18:55:45.575Z UTC
