id,bacnetConnRef,bacnetCur,bacnetPoint,bmsName,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,objectId,opcConnRef,opcCur,opcPoint,point,power,quantityID,sensor,siemens,siteRef,sourceID,sqlConnRef,sqlPoint,temp,toTag,tz,unit,utilityPoint,volume,water,zachName,mod
@p:ubcv:r:2388a048-7143dd58 Strangway HW Main Meter Water Delta Temp,"","","","","","","","","",✓,✓,$equipRef $navName,"","","",@p:ubcv:r:209d2287-652a93df Strangway HW Main Meter,"",@p:ubcv:r:21697fca-65e07aae Strangway Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,"","","","",✓,"","","","",@p:ubcv:r:209d2287-62da2c4d Strangway,"","","",✓,"",Los_Angeles,°C,✓,"",✓,"",2020-04-28T00:03:35.182Z UTC
@p:ubcv:r:209d2287-bc4a81d4 Strangway HW Main Meter Power,@p:ubcv:r:21cad621-a38d586a DSB DES Meter,AI5,✓,"",@p:ubcv:r:21cad621-a38d586a DSB DES Meter,✓,"",ok,165kW,"","",$equipRef $navName,"","","",@p:ubcv:r:209d2287-652a93df Strangway HW Main Meter,"",@p:ubcv:r:21697fca-65e07aae Strangway Utilities,✓,5.284722222222222kW,15min,2020-05-12T20:24:54-07:00 Los_Angeles,"","",684290,2016-05-05T15:45:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","","",✓,✓,"",✓,"",@p:ubcv:r:209d2287-62da2c4d Strangway,"","","","","",Los_Angeles,kW,✓,"",✓,"",2020-05-12T08:00:09.887Z UTC
@p:ubcv:r:263b768c-c685e5ad Strangway Water Main Meter Consumption,"","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,64833.20703125m³,"","",$equipRef $navName,"","","",@p:ubcv:r:209d2287-ebe05eda Strangway Water Main Meter,"",@p:ubcv:r:21697fca-65e07aae Strangway Utilities,✓,"",15min,2020-05-12T20:15:00-07:00 Los_Angeles,"",consumption,319378,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Consumption,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Strangway_199.Water_Volume,✓,✓,"",10394,✓,"",@p:ubcv:r:209d2287-62da2c4d Strangway,160,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,m³,✓,✓,✓,"",2020-05-04T19:39:55.009Z UTC
@p:ubcv:r:263b768d-da58fded Strangway Elec Main Meter Power,"","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,245.61099243164062kW,"","",$equipRef $navName,✓,"","",@p:ubcv:r:209d2287-9c3ff515 Strangway Elec Main Meter,"",@p:ubcv:r:21697fca-65e07aae Strangway Utilities,✓,8.006941460019094kW,15min,2020-05-12T20:22:17-07:00 Los_Angeles,"","",415074,2011-03-31T17:00:00-07:00 Los_Angeles,ok,"","",Number,"",Power,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Strangway_199.Elec_Power,✓,✓,✓,116,✓,"",@p:ubcv:r:209d2287-62da2c4d Strangway,160,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kW,✓,"","","",2020-05-12T08:00:09.888Z UTC
@p:ubcv:r:209d2287-b219ef3d Strangway HW Main Meter Energy,@p:ubcv:r:21cad621-a38d586a DSB DES Meter,AI1,✓,"",@p:ubcv:r:21cad621-a38d586a DSB DES Meter,✓,MWh => kWh,ok,3422540.0390625kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:209d2287-652a93df Strangway HW Main Meter,"",@p:ubcv:r:21697fca-65e07aae Strangway Utilities,✓,"",15min,2020-05-12T20:15:00-07:00 Los_Angeles,"",consumption,139570,2016-05-05T11:15:00-07:00 Los_Angeles,ok,✓,✓,Number,"",Energy,"","","","",✓,"",10364,✓,"",@p:ubcv:r:209d2287-62da2c4d Strangway,160,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kWh,✓,"",✓,"",2020-04-28T00:03:35.184Z UTC
@p:ubcv:r:21dffdad-c82826f3 Strangway HW Main Meter Entering Water Temp,@p:ubcv:r:21cad621-a38d586a DSB DES Meter,AI9,✓,"",@p:ubcv:r:21cad621-a38d586a DSB DES Meter,✓,"",ok,81.62999725341797°C,"","",$equipRef $navName,"","",✓,@p:ubcv:r:209d2287-652a93df Strangway HW Main Meter,"",@p:ubcv:r:21697fca-65e07aae Strangway Utilities,✓,0.5°C,10min,2020-05-12T20:20:00-07:00 Los_Angeles,"",consumption,189323,2018-01-03T13:20:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","","",✓,"","",✓,"",@p:ubcv:r:209d2287-62da2c4d Strangway,"","","",✓,"",Los_Angeles,°C,✓,"",✓,"",2020-04-28T00:03:35.185Z UTC
@p:ubcv:r:21dffdad-72d803d3 Strangway HW Main Meter Flow,@p:ubcv:r:21cad621-a38d586a DSB DES Meter,AI4,✓,"",@p:ubcv:r:21cad621-a38d586a DSB DES Meter,✓,m³/h => L/s,ok,1.3999999894036188L/s,"","",$equipRef $navName,"","","",@p:ubcv:r:209d2287-652a93df Strangway HW Main Meter,✓,@p:ubcv:r:21697fca-65e07aae Strangway Utilities,✓,0.25L/s,10min,2020-05-12T20:25:34-07:00 Los_Angeles,"",consumption,447242,2018-01-03T13:20:00-08:00 Los_Angeles,ok,"",✓,Number,"",Flow,"","","","",✓,"","",✓,"",@p:ubcv:r:209d2287-62da2c4d Strangway,"","","","","",Los_Angeles,L/s,✓,"",✓,"",2020-04-28T00:03:35.186Z UTC
@p:ubcv:r:263b768d-b483d7c7 Strangway Elec Main Meter Energy,"","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,1595220.625kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:209d2287-9c3ff515 Strangway Elec Main Meter,"",@p:ubcv:r:21697fca-65e07aae Strangway Utilities,✓,"",15min,2020-05-12T20:15:00-07:00 Los_Angeles,"",consumption,319774,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Energy,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Strangway_199.Elec_Energy,✓,✓,"",10393,✓,"",@p:ubcv:r:209d2287-62da2c4d Strangway,160,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kWh,✓,"","","",2020-05-04T19:39:55.008Z UTC
@p:ubcv:r:21dffdad-062638e8 Strangway HW Main Meter Leaving Water Temp,@p:ubcv:r:21cad621-a38d586a DSB DES Meter,AI10,✓,"",@p:ubcv:r:21cad621-a38d586a DSB DES Meter,✓,"",ok,53°C,"","",$equipRef $navName,"","","",@p:ubcv:r:209d2287-652a93df Strangway HW Main Meter,"",@p:ubcv:r:21697fca-65e07aae Strangway Utilities,✓,0.5°C,10min,2020-05-12T20:22:00-07:00 Los_Angeles,"",consumption,500238,2018-01-03T13:20:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","","",✓,"","",✓,"",@p:ubcv:r:209d2287-62da2c4d Strangway,"","","",✓,"",Los_Angeles,°C,✓,"",✓,"",2020-04-28T00:03:35.187Z UTC
@p:ubcv:r:261a2f82-b14c1e50 Strangway Unsorted Points MDMHX1ST1,@p:ubcv:r:261a2de8-41ad1396 D.Strangway Dentistry Node 51,AI1,"",MDMHX1ST1,@p:ubcv:r:261a2de8-41ad1396 D.Strangway Dentistry Node 51,"","",ok,55.26580810546875°C,"","",$equipRef $bmsName,"","","",@p:ubcv:r:261a2ea1-3e9ae3b1 Strangway Unsorted Points,"",@p:ubcv:r:261a2ea1-1a7f51b8 Strangway $bmsName,✓,"",10min,2020-05-12T20:20:00-07:00 Los_Angeles,"","",5603,2020-04-03T10:32:00-07:00 Los_Angeles,ok,"","",Number,"",MDMHX1ST1,AI1,"","","",✓,"","","",✓,@p:ubcv:r:209d2287-62da2c4d Strangway,"","","","",✓,Los_Angeles,°C,"","","",HX SUP TEMP,2020-04-03T17:44:05.086Z UTC
