id,bacnetConnRef,bacnetCur,bacnetPoint,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,disabled,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,sqlSource,submeterAdd,submeterSub,temp,tz,unit,utilityPoint,volume,water,mod
@p:ubcv:r:225ff5e1-cc5d89af Thea Koerner House Elec Submeters Elec Submeter 1 Energy,"","","",@p:ubcv:r:23060489-d61f5459 ION DB,"","","","","","",$equipRef $navName,"",✓,✓,"",@p:ubcv:r:251290a2-363891b8 Thea Koerner House Elec Submeters Elec Submeter 1,"",@p:ubcv:r:225ff5e1-4ea7b294 Thea Koerner House Utilities,✓,"","",2020-05-12T03:15:00-07:00 Los_Angeles,"","",313901,2010-12-31T16:00:00-08:00 Los_Angeles,ok,✓,"",Number,"",Energy,"","","",✓,"","",10393,✓,@p:ubcv:r:225ff5e1-3d610e6d Thea Koerner House,69,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","","",Los_Angeles,kWh,✓,"","",2020-05-06T18:40:17.913Z UTC
@p:ubcv:r:225ff5e1-bdc19824 Thea Koerner House HW Main Meter Power,@p:ubcv:r:225ff59a-d0c38d6d Thea Koerner House DES Meter,AI5,✓,@p:ubcv:r:225ff59a-d0c38d6d Thea Koerner House DES Meter,✓,"",ok,52.29999923706055kW,"","",$equipRef $navName,"","","","",@p:ubcv:r:225ff5e1-ae8cf185 Thea Koerner House HW Main Meter,"",@p:ubcv:r:225ff5e1-4ea7b294 Thea Koerner House Utilities,✓,5kW,15min,2020-05-12T20:26:45-07:00 Los_Angeles,"","",443738,2018-04-10T15:47:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","",✓,"",✓,"",✓,@p:ubcv:r:225ff5e1-3d610e6d Thea Koerner House,"","","","","","","",Los_Angeles,kW,✓,"",✓,2020-05-12T08:00:09.892Z UTC
@p:ubcv:r:254e243c-94bae88c Thea Koerner House Elec Main Meter Energy OPC,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,6846573.5kWh,"","",$equipRef $navName,✓,✓,✓,"",@p:ubcv:r:225ff5e1-8f2732ef Thea Koerner House Elec Main Meter,"",@p:ubcv:r:225ff5e1-4ea7b294 Thea Koerner House Utilities,✓,"",15min,2020-05-12T20:15:00-07:00 Los_Angeles,"",consumption,16019,2019-11-25T12:00:00-08:00 Los_Angeles,ok,✓,"",Number,"",Energy OPC,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Thea_Koerner_408.Elec_Energy,✓,✓,"","","",✓,@p:ubcv:r:225ff5e1-3d610e6d Thea Koerner House,"","","","","","","",Los_Angeles,kWh,✓,"","",2020-04-28T00:03:36.043Z UTC
@p:ubcv:r:225ff5e1-2109e9ce Thea Koerner House HW Main Meter Energy,@p:ubcv:r:225ff59a-d0c38d6d Thea Koerner House DES Meter,AI1,✓,@p:ubcv:r:225ff59a-d0c38d6d Thea Koerner House DES Meter,✓,MWh => kWh,ok,2696310.05859375kWh,"","",$equipRef $navName,"","",✓,"",@p:ubcv:r:225ff5e1-ae8cf185 Thea Koerner House HW Main Meter,"",@p:ubcv:r:225ff5e1-4ea7b294 Thea Koerner House Utilities,✓,"",15min,2020-05-12T20:15:00-07:00 Los_Angeles,"",consumption,72282,2018-04-10T16:00:00-07:00 Los_Angeles,ok,✓,✓,Number,"",Energy,"","","",✓,"","","",✓,@p:ubcv:r:225ff5e1-3d610e6d Thea Koerner House,285,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","","","",Los_Angeles,kWh,✓,"",✓,2020-04-28T00:03:35.791Z UTC
@p:ubcv:r:225ff5e1-b2a62d2e Thea Koerner House HW Main Meter Entering Water Temp,@p:ubcv:r:225ff59a-d0c38d6d Thea Koerner House DES Meter,AI9,✓,@p:ubcv:r:225ff59a-d0c38d6d Thea Koerner House DES Meter,✓,"",ok,80.33999633789062°C,"","",$equipRef $navName,"","","",✓,@p:ubcv:r:225ff5e1-ae8cf185 Thea Koerner House HW Main Meter,"",@p:ubcv:r:225ff5e1-4ea7b294 Thea Koerner House Utilities,✓,0.5°C,10min,2020-05-12T20:20:00-07:00 Los_Angeles,"",consumption,180930,2018-04-10T15:46:28-07:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","",✓,"","","",✓,@p:ubcv:r:225ff5e1-3d610e6d Thea Koerner House,"","","","","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.792Z UTC
@p:ubcv:r:251290a2-6bed9d1f Thea Koerner House Elec Submeters Elec Submeter 1 Energy Copy,"","","",@p:ubcv:r:23060489-d61f5459 ION DB,"","","","","","",$equipRef $navName,"",✓,✓,"",@p:ubcv:r:251290a2-363891b8 Thea Koerner House Elec Submeters Elec Submeter 1,"",@p:ubcv:r:21cb1e82-b12fd613 Asian Centre Utilities,✓,"","",2020-05-12T03:15:00-07:00 Los_Angeles,"","",23235,2019-09-12T08:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Energy Copy,"","","",✓,"","",10393,✓,@p:ubcv:r:225ff5e1-3d610e6d Thea Koerner House,66,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","","",Los_Angeles,kWh,"","","",2020-05-06T18:44:57.806Z UTC
@p:ubcv:r:263b76a3-ba515b74 Thea Koerner House Water Main Meter Consumption,"","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,✓,"",ok,48741.8984375m³,"","",$equipRef $navName,"","","","",@p:ubcv:r:225ff5e1-1a94f329 Thea Koerner House Water Main Meter,"",@p:ubcv:r:225ff5e1-4ea7b294 Thea Koerner House Utilities,✓,"",15min,2020-05-12T20:15:00-07:00 Los_Angeles,"",consumption,16019,2019-11-25T12:00:00-08:00 Los_Angeles,ok,✓,"",Number,"",Consumption,@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Thea_Koerner_408.Water_Volume,✓,✓,"","","",✓,@p:ubcv:r:225ff5e1-3d610e6d Thea Koerner House,285,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","","","",Los_Angeles,m³,✓,✓,✓,2020-05-04T19:39:55.146Z UTC
@p:ubcv:r:225ff5e1-dc94e487 Thea Koerner House HW Main Meter Leaving Water Temp,@p:ubcv:r:225ff59a-d0c38d6d Thea Koerner House DES Meter,AI10,✓,@p:ubcv:r:225ff59a-d0c38d6d Thea Koerner House DES Meter,✓,"",ok,54.98999786376953°C,"","",$equipRef $navName,"","","","",@p:ubcv:r:225ff5e1-ae8cf185 Thea Koerner House HW Main Meter,"",@p:ubcv:r:225ff5e1-4ea7b294 Thea Koerner House Utilities,✓,0.5°C,10min,2020-05-12T20:24:03-07:00 Los_Angeles,"",consumption,333389,2018-04-10T15:47:06-07:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","",✓,"","","",✓,@p:ubcv:r:225ff5e1-3d610e6d Thea Koerner House,"","","","","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.793Z UTC
@p:ubcv:r:225ff5e1-a4caba36 Thea Koerner House Elec Submeters Elec Submeter 1 Power,"","","",@p:ubcv:r:23060489-d61f5459 ION DB,"","","","","","",$equipRef $navName,"",✓,"","",@p:ubcv:r:251290a2-363891b8 Thea Koerner House Elec Submeters Elec Submeter 1,"",@p:ubcv:r:225ff5e1-4ea7b294 Thea Koerner House Utilities,✓,"","",2020-05-12T03:15:00-07:00 Los_Angeles,"","",313901,2010-12-31T16:00:00-08:00 Los_Angeles,ok,"","",Number,"",Power,"","","",✓,"",✓,116,✓,@p:ubcv:r:225ff5e1-3d610e6d Thea Koerner House,69,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","","",Los_Angeles,kW,✓,"","",2020-03-30T15:20:45.513Z UTC
@p:ubcv:r:251290a2-d63608e9 Thea Koerner House Elec Submeters Elec Submeter 1 Power Copy,"","","",@p:ubcv:r:23060489-d61f5459 ION DB,"","","","","","",$equipRef $navName,"",✓,"","",@p:ubcv:r:251290a2-363891b8 Thea Koerner House Elec Submeters Elec Submeter 1,"",@p:ubcv:r:21cb1e82-b12fd613 Asian Centre Utilities,✓,"","",2020-05-12T03:15:00-07:00 Los_Angeles,"","",23235,2019-09-12T08:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Power Copy,"","","",✓,"",✓,116,✓,@p:ubcv:r:225ff5e1-3d610e6d Thea Koerner House,66,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","","",Los_Angeles,kW,"","","",2020-05-06T18:44:57.806Z UTC
@p:ubcv:r:25129301-a9a9c36b Thea Koerner House Elec Main Meter Energy,"","","","","","","","","","",$equipRef $navName,"",✓,✓,"",@p:ubcv:r:225ff5e1-8f2732ef Thea Koerner House Elec Main Meter,"",@p:ubcv:r:225ff5e1-4ea7b294 Thea Koerner House Utilities,✓,"","","",virtualMeter,consumption,"","","",✓,"",Number,"",Energy,"","","",✓,"","","",✓,@p:ubcv:r:225ff5e1-3d610e6d Thea Koerner House,"","","","",@p:ubcv:r:225ff5e1-cc5d89af,@p:ubcv:r:263b76ba-99a6b9ff,"",Los_Angeles,kWh,✓,"","",2020-05-06T18:41:47.49Z UTC
