id,air,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,co2,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,discharge,effective,elec,enable,energy,entering,enum,equipName,equipRef,esc,fan,flow,groupRef,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,lastSynced,lastTagged,leaving,mode,navName,noTagMatch,objectId,point,pointType,power,pump,quantityID,run,scheduleOcc,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,sqlSource,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zone,mod
@p:ubcv:r:23d50403-0714c71e Totem Cesnaem Unsorted Points DHW_DHX1_LOAD_LEAVING_WATER_TEMP,"",@p:ubcv:r:23d5035b-7b870f94 Totem TOTEM_BSMNT_MECH_HRV4_HRV5_FC1_FC2AB_CP792100 (530100),"",TL5,✓,DHW_DHX1_LOAD_LEAVING_WATER_TEMP,"","",@p:ubcv:r:23d5035b-7b870f94 Totem TOTEM_BSMNT_MECH_HRV4_HRV5_FC1_FC2AB_CP792100 (530100),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:239068eb-ba7aaf6b Totem Cesnaem Unsorted Points,✓,"","",@p:ubcv:r:239068eb-41689055 Totem Cesnaem Unsorted Points,"",✓,"","","",2020-05-12T20:15:00-07:00 Los_Angeles,"","",45040,2019-01-14T09:45:00-08:00 Los_Angeles,ok,"","",Number,2020-05-12T20:27:32.986-07:00 Los_Angeles,"","","",DHW_DHX1_LOAD_LEAVING_WATER_TEMP,✓,AI1104,✓,"","","","","","","",@p:ubcv:r:216174bf-36ca68c5 Totem Cesnaem,"","","","","","","","",DHW_DHX1_LOAD_LEAVING_WATER_TEMP_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:04.639Z UTC
@p:ubcv:r:23d50425-6e41e21d Totem Cesnaem Unsorted Points CENTRE_ROOF_DMPR_GRV_CMD,"",@p:ubcv:r:23d50328-3e1e256c Totem TOTEM_HRV2_HRV3_OAT_CP792400 (530400),"",TL9,✓,CENTRE_ROOF_DMPR_GRV_CMD,"","",@p:ubcv:r:23d50328-3e1e256c Totem TOTEM_HRV2_HRV3_OAT_CP792400 (530400),"","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:239068eb-ba7aaf6b Totem Cesnaem Unsorted Points,✓,"","",@p:ubcv:r:239068eb-41689055 Totem Cesnaem Unsorted Points,"",✓,"","","",2020-05-10T08:03:31-07:00 Los_Angeles,"","",495,2019-01-13T13:47:33-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T20:27:32.059-07:00 Los_Angeles,"","","",CENTRE_ROOF_DMPR_GRV_CMD,✓,BO1403,✓,"","","","","","","",@p:ubcv:r:216174bf-36ca68c5 Totem Cesnaem,"","","","","","","","",CENTRE_ROOF_DMPR_GRV_CMD_TL,Los_Angeles,"","","","","","",2020-04-08T18:52:23.549Z UTC
@p:ubcv:r:23d50403-3372772d Totem Cesnaem Unsorted Points BACNET_FC2A_COOLING_CALL_STATUS_MUX,"",@p:ubcv:r:23d5035b-7b870f94 Totem TOTEM_BSMNT_MECH_HRV4_HRV5_FC1_FC2AB_CP792100 (530100),"",TL162,✓,BACNET_FC2A_COOLING_CALL_STATUS_MUX,"","",@p:ubcv:r:23d5035b-7b870f94 Totem TOTEM_BSMNT_MECH_HRV4_HRV5_FC1_FC2AB_CP792100 (530100),"","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:239068eb-ba7aaf6b Totem Cesnaem Unsorted Points,✓,"","",@p:ubcv:r:239068eb-41689055 Totem Cesnaem Unsorted Points,"",✓,"","","","","","","","",ok,"","",Bool,2020-05-12T20:27:32.768-07:00 Los_Angeles,"","","",BACNET_FC2A_COOLING_CALL_STATUS_MUX,✓,BV2022,✓,"","","","","","","",@p:ubcv:r:216174bf-36ca68c5 Totem Cesnaem,"","","","","","","","",BACNET_FC2A_COOLING_CALL_STATUS_MUX_TL,Los_Angeles,"","","","","","",2020-04-08T18:49:31.692Z UTC
@p:ubcv:r:23d50403-ebfe1f94 Totem Cesnaem Unsorted Points BACNET_FC2B_RETURN_AIR_DEWPOINT_MUX,"",@p:ubcv:r:23d5035b-7b870f94 Totem TOTEM_BSMNT_MECH_HRV4_HRV5_FC1_FC2AB_CP792100 (530100),"",TL186,✓,BACNET_FC2B_RETURN_AIR_DEWPOINT_MUX,"","",@p:ubcv:r:23d5035b-7b870f94 Totem TOTEM_BSMNT_MECH_HRV4_HRV5_FC1_FC2AB_CP792100 (530100),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:239068eb-ba7aaf6b Totem Cesnaem Unsorted Points,✓,"","",@p:ubcv:r:239068eb-41689055 Totem Cesnaem Unsorted Points,"",✓,"","","",2020-05-12T20:15:00-07:00 Los_Angeles,"","",45042,2019-01-14T09:45:00-08:00 Los_Angeles,ok,"","",Number,2020-05-12T20:27:33.008-07:00 Los_Angeles,"","","",BACNET_FC2B_RETURN_AIR_DEWPOINT_MUX,✓,AV2027,✓,"","","","","","","",@p:ubcv:r:216174bf-36ca68c5 Totem Cesnaem,"","","","","","","","",BACNET_FC2B_RETURN_AIR_DEWPOINT_MUX_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:04.641Z UTC
@p:ubcv:r:22a97cf2-465e9119 Totem Cesnaem Elec Main Meter Power,"","","","","","","","",@p:ubcv:r:23060489-d61f5459 ION DB,"","","","","","",$equipRef $navName,"","",✓,"","","","","",@p:ubcv:r:216174bf-caa82118 Totem Cesnaem Elec Main Meter,"","","",@p:ubcv:r:21697fca-d9093e2e Totem Cesnaem Utilities,"",✓,"","","",2020-05-12T03:15:00-07:00 Los_Angeles,"","",63638,2018-04-12T22:15:00-07:00 Los_Angeles,ok,✓,"",Number,"","","","",Power,"","",✓,"",✓,"",116,"","",✓,@p:ubcv:r:216174bf-36ca68c5 Totem Cesnaem,628,"","",@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","","",Los_Angeles,kW,✓,"","","","",2020-05-06T19:21:27.264Z UTC
@p:ubcv:r:23d50425-cc7d1846 Totem Cesnaem Unsorted Points HRV_03_SF_VFD_FEEDBACK_HZ,"",@p:ubcv:r:23d50328-3e1e256c Totem TOTEM_HRV2_HRV3_OAT_CP792400 (530400),"",TL41,✓,HRV_03_SF_VFD_FEEDBACK_HZ,"","",@p:ubcv:r:23d50328-3e1e256c Totem TOTEM_HRV2_HRV3_OAT_CP792400 (530400),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:239068eb-ba7aaf6b Totem Cesnaem Unsorted Points,✓,"","",@p:ubcv:r:239068eb-41689055 Totem Cesnaem Unsorted Points,"",✓,"","","",2020-05-12T20:15:00-07:00 Los_Angeles,"","",46454,2019-01-14T09:45:00-08:00 Los_Angeles,ok,"","",Number,2020-05-12T20:27:32.114-07:00 Los_Angeles,"","","",HRV_03_SF_VFD_FEEDBACK_HZ,✓,AI1504,✓,"","","","","","","",@p:ubcv:r:216174bf-36ca68c5 Totem Cesnaem,"","","","","","","","",HRV_03_SF_VFD_FEEDBACK_TL,Los_Angeles,Hz,"","","","","",2020-04-09T19:02:04.84Z UTC
@p:ubcv:r:239068fa-f2eb0f7d Totem Cesnaem Unsorted Points MV_BTU_TOTAL_BUILDING_BTU1_FLOW_MUX,"",@p:ubcv:r:23906676-498db761 Totem 541.0 Totem CSNM residence (530000),"",TL20,✓,MV_BTU_TOTAL_BUILDING_BTU1_FLOW_MUX,"","",@p:ubcv:r:23906676-498db761 Totem 541.0 Totem CSNM residence (530000),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:239068eb-ba7aaf6b Totem Cesnaem Unsorted Points,✓,"","",@p:ubcv:r:239068eb-41689055 Totem Cesnaem Unsorted Points,"",✓,"","","",2020-05-12T20:30:00-07:00 Los_Angeles,"","",50604,2018-11-26T13:00:00-08:00 Los_Angeles,ok,"","",Number,2020-05-12T20:33:22.488-07:00 Los_Angeles,2018-11-28T16:32:34.246-08:00 Los_Angeles,"","",MV_BTU_TOTAL_BUILDING_BTU1_FLOW_MUX,✓,AV2035,✓,"","","","","","","",@p:ubcv:r:216174bf-36ca68c5 Totem Cesnaem,"","","","","","","","",5410.DES.HW-F,Los_Angeles,gal/min,"","","","","",2020-04-09T19:02:04.6Z UTC
@p:ubcv:r:23d50403-1a5f3c72 Totem Cesnaem Unsorted Points DHW_DHX2_SOURCE_LEAVING_WATER_TEMP,"",@p:ubcv:r:23d5035b-7b870f94 Totem TOTEM_BSMNT_MECH_HRV4_HRV5_FC1_FC2AB_CP792100 (530100),"",TL14,✓,DHW_DHX2_SOURCE_LEAVING_WATER_TEMP,"","",@p:ubcv:r:23d5035b-7b870f94 Totem TOTEM_BSMNT_MECH_HRV4_HRV5_FC1_FC2AB_CP792100 (530100),"","","","","","",$equipRef $bmsName,"","","","","","","","",@p:ubcv:r:239068eb-ba7aaf6b Totem Cesnaem Unsorted Points,✓,"","",@p:ubcv:r:239068eb-41689055 Totem Cesnaem Unsorted Points,"",✓,"","","",2020-05-12T20:15:00-07:00 Los_Angeles,"","",45040,2019-01-14T09:45:00-08:00 Los_Angeles,ok,"","",Number,2020-05-12T20:27:33.054-07:00 Los_Angeles,"","","",DHW_DHX2_SOURCE_LEAVING_WATER_TEMP,✓,AI1401,✓,"","","","","","","",@p:ubcv:r:216174bf-36ca68c5 Totem Cesnaem,"","","","","","","","",DHW_DHX2_SOURCE_LEAVING_WATER_TEMP_TL,Los_Angeles,°C,"","","","","",2020-04-09T19:02:04.643Z UTC
@p:ubcv:r:23d50425-4eb877d5 Totem Cesnaem Unsorted Points HRV_03_SF_VFD_STATUS,"",@p:ubcv:r:23d50328-3e1e256c Totem TOTEM_HRV2_HRV3_OAT_CP792400 (530400),"",TL22,✓,HRV_03_SF_VFD_STATUS,"","",@p:ubcv:r:23d50328-3e1e256c Totem TOTEM_HRV2_HRV3_OAT_CP792400 (530400),"","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:239068eb-ba7aaf6b Totem Cesnaem Unsorted Points,✓,"","",@p:ubcv:r:239068eb-41689055 Totem Cesnaem Unsorted Points,"",✓,"","","",2020-04-08T13:23:31-07:00 Los_Angeles,"","",180,2019-01-18T09:32:46-08:00 Los_Angeles,ok,"","",Bool,2020-05-12T20:27:31.844-07:00 Los_Angeles,"","","",HRV_03_SF_VFD_STATUS,✓,BV20,✓,"","","","","","","",@p:ubcv:r:216174bf-36ca68c5 Totem Cesnaem,"","","","","","","","",HRV_03_SF_VFD_STATUS_TL,Los_Angeles,"","","","","","",2020-04-08T18:53:17.507Z UTC
@p:ubcv:r:23d50425-84734f71 Totem Cesnaem Unsorted Points HRV_02_RECIRC_MODE_CMD,"",@p:ubcv:r:23d50328-3e1e256c Totem TOTEM_HRV2_HRV3_OAT_CP792400 (530400),"",TL5,✓,HRV_02_RECIRC_MODE_CMD,"","",@p:ubcv:r:23d50328-3e1e256c Totem TOTEM_HRV2_HRV3_OAT_CP792400 (530400),"","","","","","",$equipRef $bmsName,"","","","","","","OFF,ON","",@p:ubcv:r:239068eb-ba7aaf6b Totem Cesnaem Unsorted Points,✓,"","",@p:ubcv:r:239068eb-41689055 Totem Cesnaem Unsorted Points,"",✓,"","","",2019-03-11T14:04:02-07:00 Los_Angeles,"","",4,2019-03-11T13:57:24-07:00 Los_Angeles,ok,"","",Bool,2020-05-12T20:27:31.606-07:00 Los_Angeles,"","","",HRV_02_RECIRC_MODE_CMD,✓,BO1103,✓,"","","","","","","",@p:ubcv:r:216174bf-36ca68c5 Totem Cesnaem,"","","","","","","","",HRV_02_RECIRC_MODE_CMD_TL,Los_Angeles,"","","","","","",2020-04-08T18:51:36.839Z UTC
