id,bacnetConnRef,bacnetCur,bacnetObjectId,bacnetPoint,bridgeName,cmd,connRef,count,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,mode,navName,occ,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,reliability,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,volume,water,wifi,wifiId,mod
@p:ubcv:r:263b76af-21554e59 Woodward IRC Water Main Meter Consumption,"","","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,100048.40625m³,"","",$equipRef $navName,"","","",@p:ubcv:r:20a65ae3-3b086e08 Woodward IRC Water Main Meter,"",@p:ubcv:r:21697fca-81f4b3b5 Woodward IRC Utilities,✓,"",15min,2020-05-13T09:00:00-07:00 Los_Angeles,"",consumption,319782,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"","",Consumption,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_IRC_473.Water_Volume,✓,✓,"","",10394,"",✓,@p:ubcv:r:20a65ae3-1714771e Woodward IRC,86,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,m³,✓,✓,✓,"","",2020-05-04T19:39:55.206Z UTC
@p:ubcv:r:21dffdae-7ce40754 Woodward IRC HW Main Meter Leaving Water Temp,@p:ubcv:r:21cacf24-6727b7a3 IRC DES Meter,AI10,"",✓,"","",@p:ubcv:r:21cacf24-6727b7a3 IRC DES Meter,"",✓,"",ok,29.969999313354492°C,"","",$equipRef $navName,"","","",@p:ubcv:r:20a65ae3-65b818bb Woodward IRC HW Main Meter,"",@p:ubcv:r:21697fca-81f4b3b5 Woodward IRC Utilities,✓,0.5°C,10min,2020-05-13T09:10:00-07:00 Los_Angeles,"",consumption,370409,2018-01-03T14:10:00-08:00 Los_Angeles,ok,"",✓,Number,✓,"",Leaving Water Temp,"","","","",✓,"","","","",✓,@p:ubcv:r:20a65ae3-1714771e Woodward IRC,"","","",✓,Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:35.564Z UTC
@p:ubcv:r:20a65ae3-60061df8 Woodward IRC HW Main Meter Energy,@p:ubcv:r:21cacf24-6727b7a3 IRC DES Meter,AI1,"",✓,"","",@p:ubcv:r:21cacf24-6727b7a3 IRC DES Meter,"",✓,MWh => kWh,ok,4981649.90234375kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:20a65ae3-65b818bb Woodward IRC HW Main Meter,"",@p:ubcv:r:21697fca-81f4b3b5 Woodward IRC Utilities,✓,"",15min,2020-05-13T09:00:00-07:00 Los_Angeles,"",consumption,139749,2016-05-05T11:15:00-07:00 Los_Angeles,ok,✓,✓,Number,"","",Energy,"","","","",✓,"","",10364,"",✓,@p:ubcv:r:20a65ae3-1714771e Woodward IRC,86,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"",✓,"","",2020-04-28T00:03:35.565Z UTC
@p:ubcv:r:21dffdae-da5a8e11 Woodward IRC HW Main Meter Flow,@p:ubcv:r:21cacf24-6727b7a3 IRC DES Meter,AI4,"",✓,"","",@p:ubcv:r:21cacf24-6727b7a3 IRC DES Meter,"",✓,L/h => L/s,ok,0L/s,"","",$equipRef $navName,"","","",@p:ubcv:r:20a65ae3-65b818bb Woodward IRC HW Main Meter,✓,@p:ubcv:r:21697fca-81f4b3b5 Woodward IRC Utilities,✓,0.25L/s,10min,2020-05-13T09:10:00-07:00 Los_Angeles,"",consumption,383532,2018-01-03T14:10:00-08:00 Los_Angeles,ok,"",✓,Number,"","",Flow,"","","","",✓,"","","","",✓,@p:ubcv:r:20a65ae3-1714771e Woodward IRC,"","","","",Los_Angeles,L/s,✓,"",✓,"","",2020-04-28T00:03:35.566Z UTC
@p:ubcv:r:21dffdae-e0959fb1 Woodward IRC HW Main Meter Entering Water Temp,@p:ubcv:r:21cacf24-6727b7a3 IRC DES Meter,AI9,"",✓,"","",@p:ubcv:r:21cacf24-6727b7a3 IRC DES Meter,"",✓,"",ok,34.119998931884766°C,"","",$equipRef $navName,"","",✓,@p:ubcv:r:20a65ae3-65b818bb Woodward IRC HW Main Meter,"",@p:ubcv:r:21697fca-81f4b3b5 Woodward IRC Utilities,✓,0.5°C,10min,2020-05-13T09:10:00-07:00 Los_Angeles,"",consumption,192400,2018-01-03T14:10:00-08:00 Los_Angeles,ok,"",✓,Number,"","",Entering Water Temp,"","","","",✓,"","","","",✓,@p:ubcv:r:20a65ae3-1714771e Woodward IRC,"","","",✓,Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:35.567Z UTC
@p:ubcv:r:23ac528e-87c381a6 Woodward IRC AHU-05 Lec5 Wifi Count,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",AV326,✓,473.FLR1.AHU5-Lec5,"",@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",18,"","",$equipRef $navName,"","","",@p:ubcv:r:23e74498-844bd8c5 Woodward IRC AHU-05,"",@p:ubcv:r:23ac414a-7b974c25 Woodward IRC Wifi,✓,"","",2020-05-13T09:10:10-07:00 Los_Angeles,"",cov,113824,2018-12-18T16:50:03-08:00 Los_Angeles,"","","",Number,"","",Lec5 Wifi Count,✓,"","","",✓,"","","","",✓,@p:ubcv:r:20a65ae3-1714771e Woodward IRC,"","","","",Los_Angeles,"","","","",✓,236,2020-02-26T18:09:23.732Z UTC
@p:ubcv:r:25d85acd-9c677c88 Woodward IRC AHU-05 Lec1 Wifi Unocc,"","","","","","","","","","","","","","",$equipRef $navName,"","","",@p:ubcv:r:23e74498-844bd8c5 Woodward IRC AHU-05,"",@p:ubcv:r:23ac414a-7b974c25 Woodward IRC Wifi,✓,"","",2020-02-13T10:45:16-08:00 Los_Angeles,"",cov,37092,2019-02-12T15:33:12-08:00 Los_Angeles,"","","",Bool,"",✓,Lec1 Wifi Unocc,"","","","",✓,"","","","","",@p:ubcv:r:20a65ae3-1714771e Woodward IRC,"","","","",Los_Angeles,"","","","",✓,"",2020-02-13T19:07:34.957Z UTC
@p:ubcv:r:25d85b8f-dda86134 Woodward IRC AHU-05 Lec4 Wifi Unocc,"","","","","","","","","","","","","","",$equipRef $navName,"","","",@p:ubcv:r:23e74498-844bd8c5 Woodward IRC AHU-05,"",@p:ubcv:r:23ac414a-7b974c25 Woodward IRC Wifi,✓,"","",2020-02-13T10:45:16-08:00 Los_Angeles,"",cov,36873,2019-02-12T15:33:13-08:00 Los_Angeles,"","","",Bool,"",✓,Lec4 Wifi Unocc,"","","","",✓,"","","","","",@p:ubcv:r:20a65ae3-1714771e Woodward IRC,"","","","",Los_Angeles,"","","","",✓,"",2020-02-13T19:10:25.259Z UTC
@p:ubcv:r:23ac528e-93b8c1ed Woodward IRC AHU-05 Lec4 Wifi Count,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",AV325,✓,473.FLR1.AHU5-Lec4,"",@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",17,"","",$equipRef $navName,"","","",@p:ubcv:r:23e74498-844bd8c5 Woodward IRC AHU-05,"",@p:ubcv:r:23ac414a-7b974c25 Woodward IRC Wifi,✓,"","",2020-05-13T09:10:10-07:00 Los_Angeles,"",cov,113806,2018-12-18T16:55:03-08:00 Los_Angeles,"","","",Number,"","",Lec4 Wifi Count,✓,"","","",✓,"","","","",✓,@p:ubcv:r:20a65ae3-1714771e Woodward IRC,"","","","",Los_Angeles,"","","","",✓,235,2020-02-26T18:09:23.733Z UTC
@p:ubcv:r:23ac528e-19ba61ef Woodward IRC AHU-05 Lec3 Wifi Count,@p:ubcv:r:23d24811-37f1d56f CEME BACnet-Xtrunk (400320),"",AV324,✓,473.FLR1.AHU5-Lec3,"",@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",3,"","",$equipRef $navName,"","","",@p:ubcv:r:23e74498-844bd8c5 Woodward IRC AHU-05,"",@p:ubcv:r:23ac414a-7b974c25 Woodward IRC Wifi,✓,"","",2020-05-13T09:10:10-07:00 Los_Angeles,"",cov,117300,2018-12-18T16:50:03-08:00 Los_Angeles,"","","",Number,"","",Lec3 Wifi Count,✓,"","","",✓,"","","","",✓,@p:ubcv:r:20a65ae3-1714771e Woodward IRC,"","","","",Los_Angeles,"","","","",✓,233,2020-02-26T18:09:23.734Z UTC
